seed,n_obs,slope_noise_std,observation_noise_std,ar1_phi,horizon,outer_origin,selected_order,selected_window,lambda_forecast,smoothness_forecast,inner_forecast_mse,lambda_recovery_oracle,smoothness_recovery_oracle,recovery_mse_oracle,smoothness_gap_forecast_minus_recovery,outer_block_mse,benchmark_block_mse,relative_rmsfe_block
0,240,0.002,0.2,0.0,3,186,2,72,68236.6890411901,0.9917002350671922,0.04394708406709583,2916.2720236537198,0.9647187047689085,0.0012104138033067957,0.02698153029828365,0.044341681451910635,0.23115321947616238,0.4379818417823559
0,240,0.002,0.2,0.0,3,192,2,72,95095.55269266402,0.9933748980881182,0.045138175846930244,3043.9404508088114,0.9652488480115582,0.0010407582138005217,0.028126050076559994,0.026522218337092774,0.11985396564906264,0.47041235417138083
0,240,0.002,0.2,0.0,3,198,2,72,524728.1834880995,0.9983960417035668,0.04477506885791573,1894.5199621842785,0.9590486120254443,0.0006814133481829129,0.039347429678122436,0.031641032637296014,0.18104268143712554,0.41805636270871055
0,240,0.002,0.2,0.0,3,204,2,72,8886110.520507872,0.9998976424511528,0.04021389335351572,2350.101452286641,0.961958782179455,0.0016061607548136163,0.037938860271697794,0.02357418230583015,0.03742015778604129,0.7937166882846037
0,240,0.002,0.2,0.0,3,210,2,72,8886110.520507872,0.9998976424511528,0.04117164997138715,1529.791326422116,0.9559991402040091,0.003296111760593757,0.043898502247143645,0.031237422082083535,0.003615063469935732,2.939541728303525
0,240,0.002,0.2,0.0,3,216,2,72,1023142.178803341,0.999144516758051,0.040176072673317235,4696.487193246379,0.970302960182057,0.0027078437378676478,0.028841556575994076,0.0849977405121196,0.05193947501625299,1.279248489104807
0,240,0.002,0.2,0.0,3,222,2,72,37214.41231196327,0.9880737776333032,0.042982854500045596,22271.61845489198,0.9844821752566979,0.001356604655141469,0.003591602376605274,0.0948086647118751,0.11381965227482294,0.9126733886988883
0,240,0.002,0.2,0.0,3,228,2,72,26400.33750766734,0.9857236555419526,0.04457490660238671,46410.65601623808,0.9894746710331556,0.000960276330775526,-0.003751015491202936,0.0005846408835274577,0.027882531214455525,0.14480331104297592
0,240,0.002,0.2,0.0,3,234,3,72,8886110.520507872,0.9966617747032164,0.04348236777949754,8886110.520507872,0.9966617747032164,0.0038084431843183686,0.0,0.18295330909608234,0.10260704206468203,1.3353083061465985
0,240,0.002,0.2,0.0,6,120,2,72,6216.365530285795,0.9732867192862137,0.033276480714912925,1977.635068604284,0.9596412115035174,0.001152410827372439,0.013645507782696242,0.055570584157509845,0.05100787883232907,1.0437676902886788
0,240,0.002,0.2,0.0,6,126,2,72,6247.3946527524195,0.9733378075772696,0.03531880865461803,6597.1400864543075,0.9738925021187369,0.0007004946254382965,-0.0005546945414672821,0.023014137381504114,0.09398456668035654,0.49484487748748046
0,240,0.002,0.2,0.0,6,132,2,72,6490.979010291687,0.9737281066731213,0.034905996909221346,10584.379337018272,0.9783962063000132,0.00032316932405402005,-0.004668099626891964,0.032902218755240305,0.04218619401377227,0.8831356569589134
0,240,0.002,0.2,0.0,6,138,2,72,7772.851479877655,0.975516763441147,0.034427366174665915,12075.318838894911,0.979558169464322,0.0004094149359439263,-0.004041406023174932,0.039202034477926716,0.031322819702875815,1.1187263768839524
0,240,0.002,0.2,0.0,6,144,2,72,7535.559409257252,0.9752148881892537,0.034342407609578574,95966.44280827155,0.9934175727262333,0.00019695115573412281,-0.018202684536979596,0.0057450536722323114,0.04007624504595656,0.37861998458511503
0,240,0.002,0.2,0.0,6,150,2,72,7997.861642948205,0.9757925163515851,0.0339931305934832,595999.2405997942,0.9985744611667673,0.0005163950953237035,-0.022781944815182142,0.04205969116683858,0.13202239514104316,0.5644288915905019
0,240,0.002,0.2,0.0,6,156,2,72,10129.508469762966,0.9780002050542398,0.0338100774836461,8886110.520507872,0.9998976424511528,0.0005754593510394579,-0.021897437396912967,0.034372286289029906,0.026737280345416267,1.1338238687739304
0,240,0.002,0.2,0.0,6,162,2,72,9840.899997400866,0.9777371982688757,0.034025670346665954,8886110.520507872,0.9998976424511528,0.0003217857163616504,-0.022160444182277028,0.07941793961625754,0.09354389698223133,0.921407151420044
0,240,0.002,0.2,0.0,6,168,2,72,12203.749143724692,0.9796497865116285,0.035762561338546585,8886110.520507872,0.9998976424511528,0.000507173530202972,-0.020247855939524273,0.015806541487001637,0.1644516885543768,0.31002681539247534
0,240,0.002,0.2,0.0,6,174,2,48,37704.43027138207,0.9940818910014666,0.036460825127819056,1747.1769440176517,0.9645611594480353,0.0010206914725144458,0.029520731553431268,0.09009117366379911,0.11443565740645352,0.8872794803357249
0,240,0.002,0.2,0.0,6,180,2,72,25277.0934523353,0.9854111921208867,0.04070378696830528,3073.223039543532,0.9653665230955222,0.0011964042717862492,0.020044669025364503,0.061006758608513255,0.0748610297936935,0.9027366547017016
0,240,0.002,0.2,0.0,6,186,2,72,34796.74561432787,0.9876303139730531,0.042882686958115375,2916.2720236537198,0.9647187047689085,0.0012104138033067957,0.02291160920414459,0.052039077851274596,0.1550516145299001,0.5793308418239814
0,240,0.002,0.2,0.0,6,192,2,72,45890.05031821689,0.989405262761366,0.044249687432302905,3043.9404508088114,0.9652488480115582,0.0010407582138005217,0.024156414749807786,0.047466589628423934,0.12338378960585221,0.6202474141553338
0,240,0.002,0.2,0.0,6,198,2,72,146632.76782105773,0.9952006215079295,0.04352495194904584,1894.5199621842785,0.9590486120254443,0.0006814133481829129,0.0361520094824852,0.016742131647146902,0.2687796738564798,0.24957849698412624
0,240,0.002,0.2,0.0,6,204,2,72,8886110.520507872,0.9998976424511528,0.04141661848947535,2350.101452286641,0.961958782179455,0.0016061607548136163,0.037938860271697794,0.033035016301345775,0.024998239486248807,1.1495624003802232
0,240,0.002,0.2,0.0,6,210,2,72,8886110.520507872,0.9998976424511528,0.04000631561132782,1529.791326422116,0.9559991402040091,0.003296111760593757,0.043898502247143645,0.0453493706634523,0.005900691037417769,2.772261505417832
0,240,0.002,0.2,0.0,6,216,2,72,8886110.520507872,0.9998976424511528,0.039720799936729535,4696.487193246379,0.970302960182057,0.0027078437378676478,0.029594682269095784,0.08772439280506762,0.05215320928899245,1.2969393472606212
0,240,0.002,0.2,0.0,6,222,2,72,36808.545305137035,0.988001927265139,0.04281874033475528,22271.61845489198,0.9844821752566979,0.001356604655141469,0.003519752008441124,0.058585228732915995,0.15832609373912565,0.6083000000446028
0,240,0.002,0.2,0.0,6,228,3,72,8886110.520507872,0.9966617747032164,0.04506976806365292,8886110.520507872,0.9966617747032164,0.001643659117361697,0.0,0.027736507733290616,0.03836883828529589,0.8502302732281284
0,240,0.002,0.2,0.0,6,234,3,72,8886110.520507872,0.9966617747032164,0.04451852121574516,8886110.520507872,0.9966617747032164,0.0038084431843183686,0.0,0.1494813682429507,0.116812294433852,1.131225678637737
0,240,0.002,0.2,0.4,1,120,3,72,8886110.520507872,0.9966617747032164,0.013711607471197916,8886110.520507872,0.9966617747032164,0.0025925389598516952,0.0,0.021842173848367317,0.015022456015969486,1.2058060516926368
0,240,0.002,0.2,0.4,1,126,3,72,8886110.520507872,0.9966617747032164,0.01505461886955063,463085.7363909517,0.9821335424868047,0.0019726681176090322,0.01452823221641164,0.12600969398753445,0.0037260109777297714,5.815404302028553
0,240,0.002,0.2,0.4,1,132,3,72,3630150.135081926,0.9934868238924941,0.02240075811673784,4906508.896545228,0.9947167593123994,0.0005663589266995316,-0.001229935419905348,0.0025874084876677797,0.009575916273086467,0.5198072459650958
0,240,0.002,0.2,0.4,1,138,3,72,2959939.4898024127,0.9925686375543364,0.02136391772988263,4842815.139104347,0.9946667156394041,0.000787314825540334,-0.0020980780850676783,0.027435033743992098,0.010842034387013436,1.5907332508654346
0,240,0.002,0.2,0.4,1,144,3,72,3624394.290368893,0.9934799385818931,0.021977707780047234,8886110.520507872,0.9966617747032164,0.0005888438854003781,-0.003181836121323278,0.00044353795138532705,0.05500090157764765,0.08980085855917697
0,240,0.002,0.2,0.4,1,150,3,72,2805009.5614998504,0.992316362765815,0.020709256960755963,8886110.520507872,0.9966617747032164,0.0037000111973050135,-0.0043454119374013445,0.03451738391890106,0.07153016956840914,0.6946632265760383
0,240,0.002,0.2,0.4,1,156,2,24,8886110.520507872,0.9999959541256663,0.020526431343436225,8886110.520507872,0.9999959541256663,0.005171095570807207,0.0,0.027370996781410337,0.0004526755371570002,7.775920181632265
0,240,0.002,0.2,0.4,1,162,2,24,8886110.520507872,0.9999959541256663,0.02012408503105204,8886110.520507872,0.9999959541256663,0.0027523905356653775,0.0,0.0018119154828354148,0.02254075222249667,0.2835206954471533
0,240,0.002,0.2,0.4,1,168,2,72,11715.611017470985,0.97929493536376,0.020409985494844764,8886110.520507872,0.9998976424511528,0.0005507591764595779,-0.020602707087392758,0.008228881644515062,0.10995594878559539,0.2735653212445107
0,240,0.002,0.2,0.4,1,174,2,72,13290.65377027515,0.9803797862153301,0.019941290591327474,8886110.520507872,0.9998976424511528,0.0010957378817177802,-0.019517856235822695,0.377785320497598,0.27380458698782434,1.1746329509904616
0,240,0.002,0.2,0.4,1,180,2,72,32895.34603704574,0.9872532105698598,0.03182238700966447,8485.814629485934,0.9763584054990248,0.0021177121015906472,0.010894805070835067,0.005534353516703239,0.016768398340847843,0.5744968574087597
0,240,0.002,0.2,0.4,1,186,2,72,67245.86906608191,0.991621134994575,0.03383248903460947,8886110.520507872,0.9998976424511528,0.0013441838141818223,-0.008276507456577709,0.000577107876897082,0.0772299744755684,0.086444139466472
0,240,0.002,0.2,0.4,1,192,2,72,8886110.520507872,0.9998976424511528,0.031151620532609836,8886110.520507872,0.9998976424511528,0.0015303851749210533,0.0,0.015395779975874458,0.10767960459837345,0.3781238941442626
0,240,0.002,0.2,0.4,1,198,2,72,8886110.520507872,0.9998976424511528,0.031062432279501267,3281.069922127335,0.9661632967537214,0.0017748370967191627,0.03373434569743139,0.0017995501793035729,0.15098523888499613,0.10917287199244326
0,240,0.002,0.2,0.4,1,204,2,72,8886110.520507872,0.9998976424511528,0.030310030895791772,7222.411444484466,0.9747977315989408,0.0030164498047799654,0.02509991085221197,0.08193475451262264,0.060897914012292644,1.1599329088024386
0,240,0.002,0.2,0.4,1,210,2,72,8886110.520507872,0.9998976424511528,0.03331203306647416,3012.6141668129626,0.9651213792645098,0.007335745483875831,0.03477626318664295,0.04802250587116898,0.002835794877839497,4.115143671578494
0,240,0.002,0.2,0.4,1,216,2,72,8886110.520507872,0.9998976424511528,0.03133179807149391,7048.436990768256,0.9745560353447326,0.006951103859624572,0.025341607106420194,0.17327484842240362,0.010128207000685467,4.136199515032634
0,240,0.002,0.2,0.4,1,222,2,72,29765.039192531778,0.9865683982844631,0.033271889555121704,29305.778708866594,0.9864603278469704,0.003322561637837486,0.00010807043749272438,0.2421557051523488,0.050232098057092486,2.1956175513634437
0,240,0.002,0.2,0.4,1,228,2,72,16088.656300490136,0.9819591691022581,0.0424601445969738,66056.3973689528,0.9915240325172144,0.002117010578827626,-0.009564863414956326,0.000115942939239614,0.0033784166995333574,0.1852531261154667
0,240,0.002,0.2,0.4,1,234,3,48,8886110.520507872,0.999460632971842,0.045182966282886684,463566.3349969882,0.992328613110539,0.013786796777098714,0.007132019861302963,0.2723127145142609,0.17008886160738396,1.2653073257170866
0,240,0.002,0.2,0.4,3,120,2,72,8391.163463719857,0.9762518801117436,0.02500986470993295,22310.127383808493,0.9844950490824282,0.0025799761495270673,-0.008243168970684667,0.04374489660100523,0.046920132003382575,0.965570712890757
0,240,0.002,0.2,0.4,3,126,2,72,8426.5070250432,0.97629183323411,0.026460628652327522,88038.01960825967,0.9930067141393164,0.0013801773150209189,-0.016714880905206453,0.06532994608362802,0.010227130220530877,2.527430703191117
0,240,0.002,0.2,0.4,3,132,2,24,8886110.520507872,0.9999959541256663,0.02783985738751372,8886110.520507872,0.9999959541256663,0.004373687879107506,0.0,0.04823397779668665,0.03626236166993794,1.1533164778887957
0,240,0.002,0.2,0.4,3,138,2,72,9619.159413194011,0.9775284669986535,0.027850990851056655,26699.03512970342,0.9858039631732568,0.0007855444044883947,-0.008275496174603325,0.03079406679438194,0.02817988235524652,1.0453553250444725
0,240,0.002,0.2,0.4,3,144,2,72,11395.089090778936,0.9790517045142206,0.031013449828476744,109311.96729181545,0.9940072640301235,0.000329639548240955,-0.014955559515902883,0.008414264921622377,0.05044355838324003,0.40841833765479546
0,240,0.002,0.2,0.4,3,150,2,72,9160.25069656935,0.9770766517428306,0.02951372534839071,898335.4431289933,0.9990313564529089,0.0006508001634504704,-0.02195470471007821,0.05388880690903764,0.1396334255790275,0.6212331008489402
0,240,0.002,0.2,0.4,3,156,2,72,12653.536034413497,0.9799613768934528,0.029728317261818783,8886110.520507872,0.9998976424511528,0.0008786379518680859,-0.019936265557700006,0.06256596183082491,0.03577936824866591,1.3223692103103253
0,240,0.002,0.2,0.4,3,162,2,72,12167.304682399035,0.9796239115706489,0.030023691126901966,8886110.520507872,0.9998976424511528,0.00037402684435116566,-0.020273730880503882,0.044965013679518606,0.06868007735339114,0.8091368438600524
0,240,0.002,0.2,0.4,3,168,2,72,21427.515027782727,0.9841928232959737,0.030624943582338228,8886110.520507872,0.9998976424511528,0.0005507591764595779,-0.015704819155179073,0.005286238466501707,0.07413606181343407,0.267029116750086
0,240,0.002,0.2,0.4,3,174,2,72,21718.97187181946,0.9842943121643093,0.03018107366707677,8886110.520507872,0.9998976424511528,0.0010957378817177802,-0.015603330286843464,0.19800964560200596,0.12254833904656322,1.2711285069120135
0,240,0.002,0.2,0.4,3,180,2,72,57995.041524964676,0.9907965649803484,0.036031248139496895,8485.814629485934,0.9763584054990248,0.0021177121015906472,0.014438159481323654,0.029312771601956725,0.06149647613389636,0.690404044303518
0,240,0.002,0.2,0.4,3,186,2,72,104518.00985830657,0.9938083548163223,0.038327053927784564,8886110.520507872,0.9998976424511528,0.0013441838141818223,-0.006089287634830409,0.031334638611579625,0.1713682858388744,0.4276092771565538
0,240,0.002,0.2,0.4,3,192,2,72,178149.93226422698,0.9958880771578837,0.03872829146607595,8886110.520507872,0.9998976424511528,0.0015303851749210533,-0.004009565293269013,0.007882895611131029,0.0411643658509046,0.43760489674630615
0,240,0.002,0.2,0.4,3,198,2,72,8886110.520507872,0.9998976424511528,0.0368143503507543,3281.069922127335,0.9661632967537214,0.0017748370967191627,0.03373434569743139,0.01989707969089307,0.09200312082408746,0.4650432981832201
0,240,0.002,0.2,0.4,3,204,2,72,8886110.520507872,0.9998976424511528,0.033297015008757765,7222.411444484466,0.9747977315989408,0.0030164498047799654,0.02509991085221197,0.05241630821598848,0.048693493923712174,1.0375230306747152
0,240,0.002,0.2,0.4,3,210,2,72,8886110.520507872,0.9998976424511528,0.03539755550886121,3012.6141668129626,0.9651213792645098,0.007335745483875831,0.03477626318664295,0.0401212011109049,0.002090667886362261,4.380709341596801
0,240,0.002,0.2,0.4,3,216,2,72,8886110.520507872,0.9998976424511528,0.03580111282395005,7048.436990768256,0.9745560353447326,0.006951103859624572,0.025341607106420194,0.14256643011106268,0.029268408203129506,2.207034315526937
0,240,0.002,0.2,0.4,3,222,2,72,50812.082892508595,0.9900235480134029,0.03971951197975332,29305.778708866594,0.9864603278469704,0.003322561637837486,0.0035632201664325125,0.15618632870235388,0.05657106249919815,1.661591800770623
0,240,0.002,0.2,0.4,3,228,2,72,28556.96680274982,0.9862794926008227,0.04397485253923134,66056.3973689528,0.9915240325172144,0.002117010578827626,-0.005244539916391733,0.002263647329592887,0.004690260275337897,0.6947137763500777
0,240,0.002,0.2,0.4,3,234,3,72,8886110.520507872,0.9966617747032164,0.042554825638197236,8886110.520507872,0.9966617747032164,0.008081357843564608,0.0,0.2506006077101352,0.19894508899279362,1.122340018262347
0,240,0.002,0.2,0.4,6,120,2,72,6685.178381782991,0.9740263352862104,0.024541091529122056,22310.127383808493,0.9844950490824282,0.0025799761495270673,-0.010468713796217832,0.03732572609176218,0.03990527546777486,0.9671391763655018
0,240,0.002,0.2,0.4,6,126,2,72,6711.391137487621,0.9740657563384196,0.025356605489260522,88038.01960825967,0.9930067141393164,0.0013801773150209189,-0.018940957800896774,0.04905059824490429,0.0609529269481342,0.8970669812776083
0,240,0.002,0.2,0.4,6,132,2,72,7448.231899576718,0.9751007746679823,0.028148090057442225,16792.37723557035,0.9823029325371839,0.0005804915434988174,-0.007202157869201642,0.023553039407009254,0.027987231250230116,0.9173678403065744
0,240,0.002,0.2,0.4,6,138,2,72,8784.07595914955,0.9766845687188367,0.02773110645862977,26699.03512970342,0.9858039631732568,0.0007855444044883947,-0.009119394454420116,0.04680916782042188,0.027219987512237958,1.3113586923317233
0,240,0.002,0.2,0.4,6,144,2,72,8522.521189990148,0.9763993164359315,0.02825926390860499,109311.96729181545,0.9940072640301235,0.000329639548240955,-0.01760794759419204,0.015137289786648358,0.055885028235490374,0.5204467791575996
0,240,0.002,0.2,0.4,6,150,2,72,8269.932015599796,0.9761132159666462,0.02958179305012102,898335.4431289933,0.9990313564529089,0.0006508001634504704,-0.022918140486262617,0.04900010061512289,0.15899809074923077,0.5551400129858658
0,240,0.002,0.2,0.4,6,156,2,72,11506.097840520975,0.9791369040555253,0.029989929807943523,8886110.520507872,0.9998976424511528,0.0008786379518680859,-0.02076073839562742,0.04049960846230097,0.02923720138572711,1.176948643580847
0,240,0.002,0.2,0.4,6,162,2,72,12060.206466550095,0.9795473087247283,0.030904191828140096,8886110.520507872,0.9998976424511528,0.00037402684435116566,-0.020350333726424474,0.038749862982268714,0.047535635498748695,0.9028704379115213
0,240,0.002,0.2,0.4,6,168,2,72,15920.914863345117,0.9818744547153061,0.030902811887360007,8886110.520507872,0.9998976424511528,0.0005507591764595779,-0.018023187735846657,0.006579108120904829,0.11932748463595137,0.23480820513196135
0,240,0.002,0.2,0.4,6,174,2,72,19556.226183347833,0.9834974899042818,0.03066658575616722,8886110.520507872,0.9998976424511528,0.0010957378817177802,-0.016400152546870994,0.1094031154704156,0.09894941311449144,1.0514974733294382
0,240,0.002,0.2,0.4,6,180,2,72,37035.33687693241,0.9880421994444805,0.03579737563583522,8485.814629485934,0.9763584054990248,0.0021177121015906472,0.011683793945455712,0.05319517155634939,0.05692042590690436,0.9667229667864792
0,240,0.002,0.2,0.4,6,186,2,72,56625.71596179141,0.9906593721511271,0.03759304594451031,8886110.520507872,0.9998976424511528,0.0013441838141818223,-0.009238270300025664,0.03132117190000297,0.11128478185554368,0.5305192074157246
0,240,0.002,0.2,0.4,6,192,2,72,91059.42707521448,0.9931694081655811,0.03879037533723859,8886110.520507872,0.9998976424511528,0.0015303851749210533,-0.006728234285571677,0.023106559769635705,0.045247065104186364,0.7146155099345445
0,240,0.002,0.2,0.4,6,198,2,72,595263.8727124541,0.9985728233349862,0.036610688252523664,3281.069922127335,0.9661632967537214,0.0017748370967191627,0.032409526581264836,0.011362750989284546,0.17758840090270556,0.2529498617402533
0,240,0.002,0.2,0.4,6,204,2,72,8886110.520507872,0.9998976424511528,0.03393581794068547,7222.411444484466,0.9747977315989408,0.0030164498047799654,0.02509991085221197,0.037813404221694075,0.02685588292023743,1.1865967955859678
0,240,0.002,0.2,0.4,6,210,2,72,8886110.520507872,0.9998976424511528,0.03452619345080102,3012.6141668129626,0.9651213792645098,0.007335745483875831,0.03477626318664295,0.05159761850849836,0.006794718923060033,2.7556818804600907
0,240,0.002,0.2,0.4,6,216,2,72,8886110.520507872,0.9998976424511528,0.03546014012539302,7048.436990768256,0.9745560353447326,0.006951103859624572,0.025341607106420194,0.11662763246378006,0.03858236222464873,1.7386266118810603
0,240,0.002,0.2,0.4,6,222,2,72,78804.08625517887,0.9924553201591015,0.04067137889366152,29305.778708866594,0.9864603278469704,0.003322561637837486,0.0059949923121311866,0.0920876458468932,0.11478250940148649,0.8957005229311397
0,240,0.002,0.2,0.4,6,228,2,72,17490.511381890694,0.9826266682587038,0.04519961501239397,66056.3973689528,0.9915240325172144,0.002117010578827626,-0.00889736425851062,0.04639575477610475,0.021091036867479873,1.4831673508793861
0,240,0.002,0.2,0.4,6,234,2,72,17560.6437024904,0.9826582979379049,0.04520832396754465,161100.0989067823,0.9955430145630604,0.0014798198887633943,-0.012884716625155446,0.14486158276131852,0.15820618773665238,0.9568963108216286
