direction,start_control,target_control,seed,horizon,relative_origin,transition_adaptive_order,transition_adaptive_window,transition_adaptive_smoothness,transition_adaptive_window_post_fraction,start_adaptive_order,start_adaptive_window,start_adaptive_smoothness,start_adaptive_window_post_fraction,target_adaptive_order,target_adaptive_window,target_adaptive_smoothness,target_adaptive_window_post_fraction,abs_smoothness_gap_to_target,order_match_target,window_match_target,discrete_config_match_target
low_to_high_noise,stable_low_noise,stable_high_noise,0,6,0,2,48,0.9727874636923115,0.0,2,48,0.9727874636923115,0.0,3,72,0.9976393087524572,0.0,0.024851845060145705,0.0,0.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,6,3,2,48,0.9696063359858114,0.0625,2,48,0.9709284763853305,0.0625,2,72,0.9782042337036909,0.041666666666666664,0.008597897717879555,1.0,0.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,6,6,2,48,0.9768421427583718,0.125,2,48,0.9723695316961464,0.125,2,72,0.9843330397989531,0.08333333333333333,0.007490897040581368,1.0,0.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,6,9,2,72,0.9792516510997951,0.125,2,48,0.9727861279846342,0.1875,2,72,0.9836130127246027,0.125,0.004361361624807603,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,6,12,2,72,0.9784464342329487,0.16666666666666666,2,48,0.9730146816759367,0.25,2,72,0.982914017604383,0.16666666666666666,0.004467583371434269,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,6,15,2,72,0.9795544350253405,0.20833333333333334,2,48,0.9730757213062952,0.3125,2,72,0.9837249372377822,0.20833333333333334,0.004170502212441751,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,6,18,2,72,0.9786520702643989,0.25,2,48,0.9712104877358705,0.375,2,72,0.9828340104600846,0.25,0.0041819401956856295,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,6,21,3,72,0.999149348771319,0.2916666666666667,2,48,0.9696296437815118,0.4375,2,72,0.9824381467577411,0.2916666666666667,0.016711202013577897,0.0,1.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,6,24,3,72,0.9986613660166295,0.3333333333333333,2,48,0.9659787487671998,0.5,2,72,0.9819458941631296,0.3333333333333333,0.016715471853499864,0.0,1.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,6,27,2,72,0.9772069628244454,0.375,2,24,0.9759887100694437,1.0,2,72,0.9804305678619301,0.375,0.0032236050374846448,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,6,30,2,72,0.9782075952850978,0.4166666666666667,2,24,0.9772437782030341,1.0,2,72,0.9810865817345776,0.4166666666666667,0.0028789864494798145,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,6,33,2,72,0.9773384034084954,0.4583333333333333,2,24,0.9686336522415433,1.0,2,72,0.9765348506731543,0.4583333333333333,0.000803552735341162,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,6,36,3,72,0.997948908600327,0.5,2,24,0.9677906289990307,1.0,2,48,0.97838432906117,0.75,0.019564579539157023,0.0,0.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,6,39,2,72,0.9781883121892536,0.5416666666666666,2,24,0.970252539460013,1.0,2,48,0.9803773840114217,0.8125,0.0021890718221680983,1.0,0.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,6,42,2,72,0.9777226053050746,0.5833333333333334,2,24,0.9739233675409341,1.0,2,72,0.9768009692122129,0.5833333333333334,0.0009216360928616663,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,6,45,3,72,0.9989681375710496,0.625,2,24,0.9858043149530338,1.0,2,72,0.9803519592096974,0.625,0.01861617836135221,0.0,1.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,6,48,3,72,0.9996856316061199,0.6666666666666666,2,24,0.9901011623956636,1.0,2,72,0.9822103618103418,0.6666666666666666,0.01747526979577807,0.0,1.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,6,51,3,72,0.9999987523564559,0.7083333333333334,2,72,0.9678893648412876,0.7083333333333334,2,72,0.9859366794336945,0.7083333333333334,0.014062072922761404,0.0,1.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,6,54,2,48,0.9956474513934317,1.0,2,72,0.9745138125292628,0.75,2,72,0.989059624460404,0.75,0.0065878269330277295,1.0,0.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,6,57,2,48,0.9972962969118652,1.0,2,72,0.9749426737583092,0.7916666666666666,2,72,0.9896588006197794,0.7916666666666666,0.007637496292085766,1.0,0.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,6,60,2,48,0.9999990215052298,1.0,2,72,0.9739471397134333,0.8333333333333334,2,72,0.9899792969611019,0.8333333333333334,0.010019724544127917,1.0,0.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,6,63,2,48,0.9999990215052298,1.0,3,72,0.9999987523564559,0.875,2,48,0.9999990215052298,1.0,0.0,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,6,66,3,72,0.9999948731091648,0.9166666666666666,3,72,0.9999987523564559,0.9166666666666666,2,48,0.9999990215052298,1.0,4.14839606499573e-06,0.0,0.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,6,69,3,72,0.9999955888531016,0.9583333333333334,3,72,0.9999987523564559,0.9583333333333334,2,48,0.997570092225144,1.0,0.0024254966279575463,0.0,0.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,6,72,3,72,0.9999917313709381,1.0,3,72,0.9999797771928253,1.0,2,48,0.9951096281788978,1.0,0.004882103192040299,0.0,0.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,6,75,3,72,0.9999904821426441,1.0,3,72,0.9999715785019284,1.0,3,72,0.9999626840116536,1.0,2.7798130990519532e-05,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,6,78,3,72,0.9999835232240609,1.0,3,72,0.9996931172553721,1.0,3,72,0.9996397397928564,1.0,0.00034378343120455845,1.0,1.0,1.0
