seed,transition,pre_observation_noise_std,post_observation_noise_std,fixed_ar1_phi,slope_noise_std,horizon,regime_point,outer_origin,relative_origin,period,adaptive_order,adaptive_window,adaptive_lambda,adaptive_smoothness,adaptive_window_post_fraction,frozen_order,frozen_window,frozen_lambda,frozen_smoothness,frozen_window_post_fraction,adaptive_order_differs,adaptive_window_differs,adaptive_smoothness_minus_frozen,adaptive_mse,frozen_mse,benchmark_mse,adaptive_rmse,frozen_rmse,benchmark_rmse,adaptive_mse_advantage_vs_frozen,adaptive_relative_rmsfe_vs_no_change,frozen_relative_rmsfe_vs_no_change
0,stable_low_noise,0.25,0.25,0.0,0.01,3,180,201,21,early,2,48,3764.5388683610236,0.9745560974190783,0.4375,2,48,3274.7142065241305,0.9728811394254971,0.4375,0.0,0.0,0.0016749579935811942,0.1247711001234385,0.12361958388175583,0.08509410085608789,0.35322952895169807,0.3515957677244648,0.2917089317386218,-0.001151516241682679,1.210897201009259,1.2052965455288256
0,stable_low_noise,0.25,0.25,0.0,0.01,3,180,204,24,early,2,72,3171.6705500114817,0.965752071891785,0.3333333333333333,2,48,3274.7142065241305,0.9728811394254971,0.5,0.0,1.0,-0.007129067533712119,0.039551521795262605,0.04001451596983492,0.35397026169588885,0.19887564404738606,0.200036286632788,0.5949539996469382,0.00046299417457231623,0.3342706228807677,0.33622143350829636
0,stable_low_noise,0.25,0.25,0.0,0.01,3,180,207,27,early,2,72,3760.6659360594267,0.9677824704623224,0.375,2,48,3274.7142065241305,0.9728811394254971,0.5625,0.0,1.0,-0.005098668963174791,0.011217158470292322,0.010417647549030745,0.01378966255941983,0.10591108757015161,0.1020668778254275,0.11742939393277915,-0.0007995109212615772,0.901912919952384,0.8691765699127622
0,stable_low_noise,0.25,0.25,0.0,0.01,3,180,210,30,early,2,72,2444.373141964324,0.9624729816256608,0.4166666666666667,2,48,3274.7142065241305,0.9728811394254971,0.625,0.0,1.0,-0.010408157799836393,0.08759265829771747,0.09323865664464352,0.04819081464021734,0.29596056882246574,0.30535005591066056,0.2195240639206038,0.005645998346926057,1.3481919181739777,1.3909639356034234
0,stable_low_noise,0.25,0.25,0.0,0.01,3,180,213,33,early,2,48,1688.3853003767847,0.9640684451563096,0.6875,2,48,3274.7142065241305,0.9728811394254971,0.6875,0.0,0.0,-0.008812694269187515,0.04296627842150772,0.042663640749927734,0.06956467237303533,0.20728308763984515,0.2065517870896491,0.26375115615487893,-0.0003026376715799875,0.7859039962582199,0.7831313049045312
0,stable_low_noise,0.25,0.25,0.0,0.01,3,180,216,36,mid,2,72,1731.8996637180396,0.957788884765755,0.5,2,48,3274.7142065241305,0.9728811394254971,0.75,0.0,1.0,-0.015092254659742177,0.16758332186394176,0.15755622355733093,0.14262973217964697,0.40936941979579,0.3969335253632917,0.3776635171414456,-0.010027098306610832,1.0839527812861778,1.0510242778219665
0,stable_low_noise,0.25,0.25,0.0,0.01,3,180,219,39,mid,2,72,2220.8666156089284,0.9612102662358528,0.5416666666666666,2,48,3274.7142065241305,0.9728811394254971,0.8125,0.0,1.0,-0.011670873189644326,0.12050801928678422,0.1186128637131752,0.3084851336931754,0.3471426497663233,0.344402183084218,0.5554143801641936,-0.001895155573609017,0.6250155958578165,0.6200815019992902
0,stable_low_noise,0.25,0.25,0.0,0.01,3,180,222,42,mid,2,24,10626.104650676336,0.9967844591722668,1.0,2,48,3274.7142065241305,0.9728811394254971,0.875,0.0,1.0,0.023903319746769625,0.01452667177582051,0.02310827221750222,0.02692173686267067,0.12052664342717136,0.15201405269744708,0.16407844728260526,0.00858160044168171,0.7345671867529244,0.9264717896532826
0,stable_low_noise,0.25,0.25,0.0,0.01,3,180,225,45,mid,2,24,54065388.24222486,0.9999993431839399,1.0,2,48,3274.7142065241305,0.9728811394254971,0.9375,0.0,1.0,0.02711820375844276,0.15466655784378683,0.14028396466411996,0.18912797145797214,0.3932766937460022,0.37454501019786657,0.4348884586396518,-0.014382593179666864,0.9043162354231868,0.8612438494446555
0,stable_low_noise,0.25,0.25,0.0,0.01,3,180,228,48,mid,2,72,4998.934824594566,0.9709856602544183,0.6666666666666666,2,48,3274.7142065241305,0.9728811394254971,1.0,0.0,1.0,-0.0018954791710787955,0.057818990133901106,0.05305114077675301,0.07665417919521716,0.24045579663194044,0.2303283325532337,0.2768649114554193,-0.0047678493571480934,0.8684950193504696,0.8319159381463227
