direction,matched_control,horizon,seed,mean_excess_adaptive_mse_advantage,transition_adaptive_mse_advantage,control_adaptive_mse_advantage
high_to_low_noise,stable_high_noise,12,7,0.14188464465090087,0.034192881797246576,-0.1076917628536543
high_to_low_noise,stable_high_noise,12,8,0.06263225167487689,0.023056966515356613,-0.039575285159520274
high_to_low_noise,stable_high_noise,12,9,0.006056650080140795,0.08025575276367432,0.07419910268353351
high_to_low_noise,stable_high_noise,12,10,0.18523332234595496,-0.12745795155587483,-0.3126912739018299
high_to_low_noise,stable_high_noise,12,11,0.07418594437645497,0.06879173484907097,-0.0053942095273839755
high_to_low_noise,stable_high_noise,12,12,0.02711178481422449,0.009709151414383705,-0.01740263339984079
high_to_low_noise,stable_high_noise,12,13,0.00981020462381339,0.07789586977801732,0.06808566515420389
high_to_low_noise,stable_high_noise,12,14,0.43345747950829994,2.299521580522802,1.8660641010145018
high_to_low_noise,stable_high_noise,12,15,0.02851885089402048,-0.016373462336189092,-0.04489231323020957
high_to_low_noise,stable_high_noise,12,16,0.10942974944831037,0.0962453004981447,-0.013184448950165678
high_to_low_noise,stable_high_noise,12,17,0.14409741301038662,0.08353959995109765,-0.06055781305928898
high_to_low_noise,stable_high_noise,12,18,-0.01704468903920497,-0.027746421375423193,-0.010701732336218218
high_to_low_noise,stable_high_noise,12,19,0.10097151604712917,0.013932748492137494,-0.08703876755499171
high_to_low_noise,stable_high_noise,12,20,0.052347525520469784,0.0024710568845767514,-0.049876468635893026
high_to_low_noise,stable_high_noise,12,21,-0.07969462354374797,2.64715485836287,2.726849481906618
high_to_low_noise,stable_high_noise,12,22,-0.1748368036933235,-0.14099987607972,0.03383692761360344
high_to_low_noise,stable_high_noise,12,23,-0.049001673103317864,-0.030039398390962598,0.01896227471235527
high_to_low_noise,stable_high_noise,12,24,0.17272465843762033,0.32277034645788305,0.1500456880202627
high_to_low_noise,stable_high_noise,12,25,-0.07342883626625643,-0.02432366046423024,0.049105175802026196
high_to_low_noise,stable_high_noise,12,26,0.03203314585252732,0.010260848856902951,-0.02177229699562437
high_to_low_noise,stable_high_noise,12,27,0.042005532597319435,0.030387384315929647,-0.01161814828138979
high_to_low_noise,stable_high_noise,12,28,-0.08526605596317002,0.012147812185166296,0.09741386814833634
