transition,horizon,period,n_blocks,adaptive_mse,frozen_local_mse,frozen_all_pre_mse,benchmark_mse,adaptive_rmse_vs_frozen_local,adaptive_rmse_vs_frozen_all_pre,adaptive_relative_rmsfe_vs_no_change,frozen_local_relative_rmsfe_vs_no_change,frozen_all_pre_relative_rmsfe_vs_no_change,mean_adaptive_advantage_vs_frozen_local,mean_adaptive_advantage_vs_frozen_all_pre
stable_high_roughness,1,all_post,1200,0.37233824950910316,1.1126777808199086,0.37006416703558925,0.6085387322871585,0.5784743656271353,1.0030678457294822,0.7822124311552883,1.3521989523378042,0.7798200635037038,0.7403395313108054,-0.002274082473513914
stable_high_roughness,1,early,360,0.38492698770748857,0.45443863968373227,0.3453352973984581,0.5569785998464074,0.9203469024223503,1.0557684877901934,0.8313232484898331,0.9032716319268232,0.7874105526959401,0.06951165197624366,-0.03959169030903054
stable_high_roughness,1,late,480,0.3500669389399483,2.054865750331615,0.3638896550260739,0.6732451768232365,0.41274690153537263,0.980823118594096,0.7210890872378837,1.7470490621625805,0.735187694465733,1.7047988113916666,0.013822716086125567
stable_high_roughness,1,mid,360,0.38944459206959087,0.5146662959404763,0.4030257193520744,0.5738236053464721,0.8698812593121185,0.9830066545520305,0.8238224710276484,0.9470516374603904,0.8380639817774941,0.12522170387088535,0.013581127282483398
stable_high_roughness,3,all_post,1200,0.3797310920822721,1.1539419547030754,0.389492026609573,1.1155915328538724,0.5736488104489317,0.9873901565844972,0.5834255905103821,1.017043145358916,0.5908764500230813,0.7742108626208033,0.009760934527300912
stable_high_roughness,3,early,360,0.38320102638692494,0.4612124379844886,0.347464065920388,0.9165747276100206,0.9115129149107559,1.0501670388760191,0.6465906088911055,0.709359788889455,0.6157026310625245,0.07801141159756365,-0.03573696046653695
stable_high_roughness,3,late,480,0.3823744419868303,2.222153547072497,0.4350583993931286,1.335242423783249,0.4148178113725085,0.9374986461825685,0.5351362449597327,1.2900512713982224,0.5708128189184821,1.839779105085667,0.05268395740629829
stable_high_roughness,3,mid,360,0.3727366912382084,0.4223893482624328,0.37076482358735063,1.0217404835252222,0.9393871043043165,1.002655662956275,0.6039914239680447,0.6429632908526498,0.6023916747123426,0.04965265702422441,-0.0019718676508577396
stable_high_roughness,6,all_post,1170,0.46991742064990444,1.2812962404954387,0.47811622730984327,2.5166324008214946,0.6056001816381094,0.9913888512794508,0.4321165308841496,0.7135343482151909,0.4358698711675803,0.8113788198455343,0.008198806659938803
stable_high_roughness,6,early,360,0.494140854108376,0.5779950342595389,0.41855331201690055,1.89145130084804,0.9246200935271653,1.0865506835514012,0.5111257946688126,0.552795465128831,0.47041136912103637,0.08385418015116297,-0.07558754209147538
stable_high_roughness,6,late,450,0.46046151414578956,2.4183363915425313,0.5538171308788197,3.167683703898478,0.43635334848557483,0.9118291584441555,0.38126396797030393,0.8737505264793629,0.4181309233638137,1.9578748773967416,0.09335561673303011
stable_high_roughness,6,mid,360,0.4575138703215767,0.5632972579224732,0.4430530131415656,2.327999371948721,0.9012251730031223,1.0161885221708034,0.44331324096834723,0.49190064175760806,0.4362509822698373,0.10578338760089648,-0.014460857180011177
stable_high_roughness,12,all_post,1110,0.8871368547682407,1.7571530150634005,0.803570731545918,7.654288019382324,0.7105432528472126,1.0507109440720228,0.3404418256892926,0.4791289261070465,0.3240109257546255,0.8700161602951599,-0.08356612322232261
