seed,transition,pre_slope_noise_std,post_slope_noise_std,horizon,outer_origin,relative_origin,period,adaptive_order,adaptive_window,adaptive_lambda,adaptive_smoothness,frozen_local_order,frozen_local_window,frozen_local_lambda,frozen_local_smoothness,frozen_local_n_origins,frozen_all_pre_order,frozen_all_pre_window,frozen_all_pre_lambda,frozen_all_pre_smoothness,frozen_all_pre_n_origins,adaptive_mse,frozen_local_mse,frozen_all_pre_mse,benchmark_mse,adaptive_rmse,frozen_local_rmse,frozen_all_pre_rmse,benchmark_rmse,adaptive_advantage_vs_frozen_local,adaptive_advantage_vs_frozen_all_pre
0,stable_low_roughness,0.005,0.005,3,192,12,early,2,72,46830.70197755544,0.9895299381067455,3,72,2336584615.940149,0.999984456995279,20,3,72,3116493284.827577,0.9999883508298825,36,0.043606137299109136,0.07121291332202202,0.07122421605073333,0.2013868306094655,0.20882082582709305,0.2668574775456405,0.2668786541683942,0.4487614406446542,0.027606776022912886,0.02761807875162419
0,stable_low_roughness,0.005,0.005,3,195,15,early,2,72,45653.78649056138,0.9893734250042322,3,72,2336584615.940149,0.999984456995279,20,3,72,3116493284.827577,0.9999883508298825,36,0.39758576118383515,0.3806709211241604,0.3806717801922572,0.43087857997583434,0.6305440200206764,0.6169853491973374,0.6169860453788701,0.6564134215384648,-0.01691484005967475,-0.016913980991577926
0,stable_low_roughness,0.005,0.005,3,198,18,early,2,72,41128.19371862196,0.988719060207554,3,72,2336584615.940149,0.999984456995279,20,3,72,3116493284.827577,0.9999883508298825,36,0.1960383723462599,0.21815474349920036,0.21816390986494982,0.20732390626884312,0.4427622074502971,0.4670703838814878,0.4670801963955974,0.4553283499507176,0.02211637115294046,0.022125537518689925
0,stable_low_roughness,0.005,0.005,3,201,21,early,2,72,41177.13929670515,0.9887266270843916,3,72,2336584615.940149,0.999984456995279,20,3,72,3116493284.827577,0.9999883508298825,36,0.41544959125143094,0.4178090462075174,0.4178136597120683,0.38347314820844014,0.6445537923644783,0.6463815020616829,0.6463850707682444,0.619252087770756,0.002359454956086471,0.0023640684606373585
0,stable_low_roughness,0.005,0.005,3,204,24,early,2,72,40303.64799155557,0.9885898239298027,3,72,2336584615.940149,0.999984456995279,20,3,72,3116493284.827577,0.9999883508298825,36,0.16388761614492683,0.18450922558153007,0.18450624317764006,1.233580112027769,0.40483035477212775,0.4295453708067753,0.4295418992108221,1.1106665170192938,0.02062160943660324,0.02061862703271322
0,stable_low_roughness,0.005,0.005,3,207,27,early,2,72,46295.93701061299,0.989459463715225,3,72,2336584615.940149,0.999984456995279,20,3,72,3116493284.827577,0.9999883508298825,36,0.0208698141446574,0.024179380374704407,0.024175359829389537,0.03566992656788421,0.1444638852608409,0.1554972037520431,0.1554842751836646,0.1888648367692732,0.0033095662300470056,0.0033055456847321356
0,stable_low_roughness,0.005,0.005,3,210,30,early,2,72,38678.05820327701,0.9883248303576455,3,72,2336584615.940149,0.999984456995279,20,3,72,3116493284.827577,0.9999883508298825,36,0.15098875236396278,0.19752403553066825,0.1975625144844133,0.24105127163567655,0.38857271181075337,0.4444367621278288,0.4444800495909949,0.49096972578324677,0.046535283166705466,0.04657376212045053
0,stable_low_roughness,0.005,0.005,3,213,33,early,2,72,41058.75836960666,0.9887083058027533,3,72,2336584615.940149,0.999984456995279,20,3,72,3116493284.827577,0.9999883508298825,36,0.15305414825379005,0.16258525079302996,0.16260036935447472,0.1887966480190658,0.3912213545472563,0.4032186141450193,0.40323736105980396,0.43450736244517857,0.009531102539239916,0.009546221100684676
0,stable_low_roughness,0.005,0.005,3,216,36,mid,2,72,41229.78433078825,0.9887347530089958,3,72,2336584615.940149,0.999984456995279,20,3,72,3116493284.827577,0.9999883508298825,36,0.5534615398215857,0.5024328273576992,0.5023666364364728,0.5042334239288627,0.7439499578745776,0.7088249624256324,0.7087782702908384,0.7100939542967978,-0.051028712463886516,-0.05109490338511291
0,stable_low_roughness,0.005,0.005,3,219,39,mid,2,72,42469.84977463602,0.9889223896710448,3,72,2336584615.940149,0.999984456995279,20,3,72,3116493284.827577,0.9999883508298825,36,0.46903449002670533,0.494394971276773,0.4944338200732803,1.4680112299113368,0.6848609275076987,0.7031322573149187,0.7031598822979596,1.211615132751047,0.02536048125006768,0.025399330046574964
0,stable_low_roughness,0.005,0.005,3,222,42,mid,2,72,50643.30984995818,0.990003665710506,3,72,2336584615.940149,0.999984456995279,20,3,72,3116493284.827577,0.9999883508298825,36,0.21176607978143094,0.20291834498396,0.20298471942288873,0.1750438510044844,0.46018048609369666,0.4504645879355668,0.4505382552268883,0.4183824219592458,-0.008847734797470946,-0.008781360358542212
0,stable_low_roughness,0.005,0.005,3,225,45,mid,2,48,26489122129.84347,0.9999990215052298,3,72,2336584615.940149,0.999984456995279,20,3,72,3116493284.827577,0.9999883508298825,36,0.29964481076614957,0.37015584013328423,0.3700798904877092,0.5335800783565326,0.5473982195496708,0.6084043393445548,0.6083419190617306,0.7304656585744005,0.07051102936713466,0.0704350797215596
0,stable_low_roughness,0.005,0.005,3,228,48,mid,2,48,26489122129.84347,0.9999990215052298,3,72,2336584615.940149,0.999984456995279,20,3,72,3116493284.827577,0.9999883508298825,36,0.16432308473618243,0.16744913796465855,0.1674234432569949,0.43309538631490335,0.40536783880345323,0.40920549600983924,0.4091740989566604,0.6580998300523283,0.0031260532284761167,0.003100358520812474
0,stable_low_roughness,0.005,0.005,3,231,51,mid,2,48,4970294958.466412,0.9999997630468994,3,72,2336584615.940149,0.999984456995279,20,3,72,3116493284.827577,0.9999883508298825,36,0.047803460912197615,0.04259505258240029,0.04259750476794428,0.33683819205897453,0.2186400258694588,0.20638568889920708,0.20639162959757906,0.5803776288408906,-0.005208408329797326,-0.005205956144253336
0,stable_low_roughness,0.005,0.005,3,234,54,mid,2,48,6905008057.594291,0.9999997078345049,3,72,2336584615.940149,0.999984456995279,20,3,72,3116493284.827577,0.9999883508298825,36,0.23452714167950406,0.2690189646309389,0.26901428704936814,0.56083497030098,0.4842800240351692,0.5186703814861023,0.5186658722620644,0.7488891575533592,0.034491822951434825,0.03448714536986408
0,stable_low_roughness,0.005,0.005,3,237,57,mid,2,48,4157500994.0282893,0.9999997819400049,3,72,2336584615.940149,0.999984456995279,20,3,72,3116493284.827577,0.9999883508298825,36,0.5693303345281207,0.6077090269314555,0.607732651071002,0.24702803263558049,0.7545398163968027,0.7795569427126253,0.7795720948514012,0.49701914715187834,0.0383786924033348,0.0384023165428814
0,stable_low_roughness,0.005,0.005,3,240,60,mid,2,72,641655.7280551491,0.9986692708227166,3,72,2336584615.940149,0.999984456995279,20,3,72,3116493284.827577,0.9999883508298825,36,0.5193650267716932,0.32106085810954005,0.3210911487602501,0.2536070997673719,0.720669845887625,0.5666223240479853,0.5666490525539155,0.5035941816258126,-0.1983041686621531,-0.19827387801144308
0,stable_low_roughness,0.005,0.005,3,243,63,mid,2,48,26489122129.84347,0.9999990215052298,3,72,2336584615.940149,0.999984456995279,20,3,72,3116493284.827577,0.9999883508298825,36,0.08280036854194996,0.17375604304963488,0.17370757851111565,0.10897274352477197,0.2877505317839568,0.4168405487109368,0.4167824114704406,0.3301101990620283,0.09095567450768492,0.0909072099691657
0,stable_low_roughness,0.005,0.005,3,246,66,mid,2,48,26489122129.84347,0.9999990215052298,3,72,2336584615.940149,0.999984456995279,20,3,72,3116493284.827577,0.9999883508298825,36,0.31950832276144503,0.28653421839173726,0.2866095719885468,0.42097670642048524,0.5652506724997725,0.5352889111421395,0.5353592924275685,0.648827177621657,-0.03297410436970777,-0.03289875077289822
0,stable_low_roughness,0.005,0.005,3,249,69,mid,2,48,26489122129.84347,0.9999990215052298,3,72,2336584615.940149,0.999984456995279,20,3,72,3116493284.827577,0.9999883508298825,36,0.03556800467252593,0.09016529834532992,0.0901285042101061,0.09972431380518217,0.18859481613375786,0.3002753708603653,0.30021409728742937,0.3157915670267054,0.05459729367280399,0.054560499537580166
0,stable_low_roughness,0.005,0.005,3,252,72,late,2,48,26489122129.84347,0.9999990215052298,3,72,2336584615.940149,0.999984456995279,20,3,72,3116493284.827577,0.9999883508298825,36,0.09088679122865796,0.06891286520248967,0.06893939960071233,0.15632354501730125,0.30147436247325904,0.2625126000832906,0.2625631345042794,0.39537772448293196,-0.021973926026168294,-0.021947391627945637
0,stable_low_roughness,0.005,0.005,3,255,75,late,2,48,26489122129.84347,0.9999990215052298,3,72,2336584615.940149,0.999984456995279,20,3,72,3116493284.827577,0.9999883508298825,36,0.3124640566379802,0.18861984394803297,0.18865727678796881,0.25464724928816534,0.5589848447301413,0.4343038613091449,0.4343469543901152,0.5046258507926099,-0.12384421268994725,-0.1238067798500114
0,stable_low_roughness,0.005,0.005,3,258,78,late,2,48,26489122129.84347,0.9999990215052298,3,72,2336584615.940149,0.999984456995279,20,3,72,3116493284.827577,0.9999883508298825,36,0.4747461045357033,0.3722010103695277,0.37221790293938556,0.3511303092098519,0.6890182178547265,0.6100827897667067,0.6100966340993741,0.5925624939277307,-0.10254509416617563,-0.10252820159631776
