direction,matched_control,horizon,seed,mean_excess_advantage_vs_frozen_local,mean_excess_advantage_vs_frozen_all_pre
high_to_low_roughness,stable_high_roughness,12,2,-1.0666181890981583,-0.09097482616214732
high_to_low_roughness,stable_high_roughness,12,3,-1.3315811276331688,0.12739560159894686
high_to_low_roughness,stable_high_roughness,12,4,0.06005019412404854,0.046647913213556505
high_to_low_roughness,stable_high_roughness,12,5,0.3157564337553837,0.35280633707840764
high_to_low_roughness,stable_high_roughness,12,6,-3.104383621335222,1.0484045245673606
high_to_low_roughness,stable_high_roughness,12,7,-0.18570648709336018,-0.17346484008284946
high_to_low_roughness,stable_high_roughness,12,8,0.09790993984890245,0.10238415300676523
high_to_low_roughness,stable_high_roughness,12,9,0.30967975661851727,0.3473768838467286
high_to_low_roughness,stable_high_roughness,12,10,0.2615711463130042,0.2409981494760983
high_to_low_roughness,stable_high_roughness,12,11,-0.2700312866821844,0.12181071971267995
high_to_low_roughness,stable_high_roughness,12,12,0.07881602338172974,0.09368422010564349
high_to_low_roughness,stable_high_roughness,12,13,0.019509892932706968,0.10991598397516807
high_to_low_roughness,stable_high_roughness,12,14,-20.25010005146558,-1.9977162249931204
high_to_low_roughness,stable_high_roughness,12,15,0.11581179401158706,0.11388344348880387
high_to_low_roughness,stable_high_roughness,12,16,-0.08943269038137594,-0.05233784310429593
high_to_low_roughness,stable_high_roughness,12,17,0.10453980615460218,0.1314857944671447
high_to_low_roughness,stable_high_roughness,12,18,0.1557834344513299,-0.2020509695963784
high_to_low_roughness,stable_high_roughness,12,19,0.018277348136237263,0.022780700435079713
high_to_low_roughness,stable_high_roughness,12,20,-0.05228522205842554,0.14110416351671481
high_to_low_roughness,stable_high_roughness,12,21,0.15312353274938043,0.0850908327427247
high_to_low_roughness,stable_high_roughness,12,22,0.15021256474807618,0.15584530686606568
high_to_low_roughness,stable_high_roughness,12,23,0.2072049543192662,0.2104636559775707
high_to_low_roughness,stable_high_roughness,12,24,0.2498067022869853,0.3610266454346512
high_to_low_roughness,stable_high_roughness,12,25,0.17121564057745814,0.1558293741930537
high_to_low_roughness,stable_high_roughness,12,26,0.021687423210917545,0.03954672867974621
high_to_low_roughness,stable_high_roughness,12,27,-0.022616662209876685,0.010864282106921967
high_to_low_roughness,stable_high_roughness,12,28,0.0845519342327143,0.08483497387526552
high_to_low_roughness,stable_high_roughness,12,29,0.12091081189751711,0.13797847045356468
low_to_high_roughness,stable_low_roughness,1,0,0.30040873902225557,0.3263031418462664
low_to_high_roughness,stable_low_roughness,1,1,0.0031696221145677992,0.012291710264108573
low_to_high_roughness,stable_low_roughness,1,2,1.738779538736312,0.06148972641360757
low_to_high_roughness,stable_low_roughness,1,3,1.0528346078336512,1.4957807183952783
low_to_high_roughness,stable_low_roughness,1,4,-0.015869736128775836,0.29140053213593115
low_to_high_roughness,stable_low_roughness,1,5,-0.027106900483599417,-0.07003903645508265
low_to_high_roughness,stable_low_roughness,1,6,0.1503476221270192,0.5524325036709875
low_to_high_roughness,stable_low_roughness,1,7,0.051082521173430186,0.051082521173430186
low_to_high_roughness,stable_low_roughness,1,8,0.13397560129489058,0.1883447685707445
low_to_high_roughness,stable_low_roughness,1,9,0.055477375038430685,0.23230641393550097
low_to_high_roughness,stable_low_roughness,1,10,-0.024652124467772103,0.008423541301650753
low_to_high_roughness,stable_low_roughness,1,11,0.17015642672193418,0.17015642672193418
low_to_high_roughness,stable_low_roughness,1,12,0.411726114726214,0.13741962010139505
low_to_high_roughness,stable_low_roughness,1,13,0.19336261484358014,0.1628772678634108
low_to_high_roughness,stable_low_roughness,1,14,1.3257857553278893,0.32414415869273755
low_to_high_roughness,stable_low_roughness,1,15,-0.004861905189961333,0.013735023272594482
low_to_high_roughness,stable_low_roughness,1,16,0.2185690684721459,0.36007358035730497
low_to_high_roughness,stable_low_roughness,1,17,0.4691369799954357,0.2509304368201984
low_to_high_roughness,stable_low_roughness,1,18,1.4865540446051941,0.3105097013194758
low_to_high_roughness,stable_low_roughness,1,19,0.02367237145366842,-0.028694777354025668
low_to_high_roughness,stable_low_roughness,1,20,-0.034788834890153456,-0.03876793481854215
low_to_high_roughness,stable_low_roughness,1,21,5.754209865206221,0.8731536031619885
low_to_high_roughness,stable_low_roughness,1,22,-0.0015493665753794003,-0.0019285188417854787
low_to_high_roughness,stable_low_roughness,1,23,0.11922898331808325,0.0829470115955316
low_to_high_roughness,stable_low_roughness,1,24,3.704945748256624,0.020739316068855953
low_to_high_roughness,stable_low_roughness,1,25,-0.003804463704801392,0.09253481472718342
low_to_high_roughness,stable_low_roughness,1,26,0.12705530951904553,0.12705503571882187
low_to_high_roughness,stable_low_roughness,1,27,0.4798174542044264,0.12877489769069633
low_to_high_roughness,stable_low_roughness,1,28,0.8432758419403859,-0.05044029148080002
low_to_high_roughness,stable_low_roughness,1,29,-0.015005441543080724,-0.015008349362143219
low_to_high_roughness,stable_low_roughness,3,0,0.05345879220771142,0.053488634649487186
low_to_high_roughness,stable_low_roughness,3,1,-0.014697345373550257,0.03688096881043906
low_to_high_roughness,stable_low_roughness,3,2,1.7372883158682668,1.7367530342790398
low_to_high_roughness,stable_low_roughness,3,3,0.8438860709009337,1.0997701204635117
low_to_high_roughness,stable_low_roughness,3,4,0.0468563590103218,0.02439676034115808
low_to_high_roughness,stable_low_roughness,3,5,0.045151439363774026,-0.010340275083718136
low_to_high_roughness,stable_low_roughness,3,6,1.818183298426905,0.06270793758633553
low_to_high_roughness,stable_low_roughness,3,7,-0.025644895207065754,0.042440885190509876
low_to_high_roughness,stable_low_roughness,3,8,0.4221404872750439,0.2191442944001004
low_to_high_roughness,stable_low_roughness,3,9,0.28929854099866337,0.08514617343901876
low_to_high_roughness,stable_low_roughness,3,10,-0.017412007723142255,0.03719611131523646
low_to_high_roughness,stable_low_roughness,3,11,0.15779814735407313,0.12493577460169089
low_to_high_roughness,stable_low_roughness,3,12,0.14314279327874002,0.1431428415345628
low_to_high_roughness,stable_low_roughness,3,13,0.2563592441060707,0.16094195086861673
low_to_high_roughness,stable_low_roughness,3,14,1.532581886828567,0.5919957144412354
low_to_high_roughness,stable_low_roughness,3,15,0.023232453275413494,0.17374386231725017
low_to_high_roughness,stable_low_roughness,3,16,0.39660172684411,0.34114439255232504
low_to_high_roughness,stable_low_roughness,3,17,0.36245459482135267,0.19364982822655863
low_to_high_roughness,stable_low_roughness,3,18,0.8537518536313191,0.5546869177929057
low_to_high_roughness,stable_low_roughness,3,19,0.030198884771398465,-0.007886568190463093
low_to_high_roughness,stable_low_roughness,3,20,0.011666681372175572,-0.0021169671851116964
low_to_high_roughness,stable_low_roughness,3,21,6.642648732983903,1.7874955747374677
low_to_high_roughness,stable_low_roughness,3,22,-0.021478746494875793,-0.014762191278635855
low_to_high_roughness,stable_low_roughness,3,23,0.050908603043374155,-0.004018416746169468
low_to_high_roughness,stable_low_roughness,3,24,2.023496146231415,0.09789844509844292
low_to_high_roughness,stable_low_roughness,3,25,-0.02697313662369083,-0.0032868046682515083
low_to_high_roughness,stable_low_roughness,3,26,0.042616161705333916,0.1035254140833417
low_to_high_roughness,stable_low_roughness,3,27,0.22478724994507004,0.22478724994507004
low_to_high_roughness,stable_low_roughness,3,28,0.023645998625200122,0.036862889671582674
low_to_high_roughness,stable_low_roughness,3,29,0.10306289306093656,0.07059294301102019
low_to_high_roughness,stable_low_roughness,6,0,0.018864245170097202,0.11141280494459775
low_to_high_roughness,stable_low_roughness,6,1,0.006433999975811231,0.05111071260742804
low_to_high_roughness,stable_low_roughness,6,2,1.9955684613967186,1.9955564544868496
low_to_high_roughness,stable_low_roughness,6,3,0.9093487180840065,1.0231313813491536
low_to_high_roughness,stable_low_roughness,6,4,0.06265660882086768,0.01721952967318983
low_to_high_roughness,stable_low_roughness,6,5,0.04833994604651211,0.004195895581416238
low_to_high_roughness,stable_low_roughness,6,6,2.3177799579792735,0.057441521204606334
