direction,matched_control,seed,horizon,relative_origin,period,transition_advantage_vs_frozen_local,transition_advantage_vs_frozen_all_pre,control_advantage_vs_frozen_local,control_advantage_vs_frozen_all_pre,excess_advantage_vs_frozen_local,excess_advantage_vs_frozen_all_pre
high_to_low_roughness,stable_high_roughness,15,12,75,late,0.12792928997943556,0.12239093984236912,-0.07189854844807497,-0.07756429822553187,0.19982783842751053,0.199955238067901
high_to_low_roughness,stable_high_roughness,15,12,78,late,0.008570755766953209,0.008071836013482603,-0.25150837919734664,-0.2507573645816349,0.26007913496429985,0.2588292005951175
high_to_low_roughness,stable_high_roughness,15,12,81,late,-0.01155299352791811,-0.011432087417192649,-0.039473229141327615,-0.0380594784314508,0.027920235613409505,0.02662739101425815
high_to_low_roughness,stable_high_roughness,15,12,84,late,0.1772854167930375,0.17029669498088512,0.0356058142444059,0.02642675171059805,0.1416796025486316,0.14386994327028707
high_to_low_roughness,stable_high_roughness,15,12,87,late,-0.01933941327196076,-0.0188650742449529,-0.026928392411347535,-0.02517704494198464,0.007588979139386776,0.006311970697031738
high_to_low_roughness,stable_high_roughness,15,12,90,late,0.09218229815041047,0.08853279390486975,0.03882468411455273,0.03327043635937721,0.053357614035857745,0.05526235754549254
high_to_low_roughness,stable_high_roughness,15,12,93,late,0.08863151221659046,0.08696223396221539,0.04629107183824227,0.04151719005709037,0.04234044037834819,0.04544504390512502
high_to_low_roughness,stable_high_roughness,15,12,96,late,-0.025453532736873785,-0.023708646181625825,-0.007849200739269535,-0.0031925469375800875,-0.01760433199760425,-0.020516099244045738
high_to_low_roughness,stable_high_roughness,15,12,99,late,-0.019157459721119263,-0.020678101914498037,-0.052899065083035324,-0.04483237964897491,0.03374160536191606,0.02415427773447687
high_to_low_roughness,stable_high_roughness,15,12,102,late,-0.05461126672749489,-0.053933602380315915,-0.05025004663236354,-0.04092009800524554,-0.004361220095131346,-0.013013504375070373
high_to_low_roughness,stable_high_roughness,15,12,105,late,-0.07922654100944768,-0.0784304100770821,-0.12671056163308725,-0.11272104938580152,0.04748402062363957,0.03429063930871942
high_to_low_roughness,stable_high_roughness,15,12,108,late,0.08160436247149352,0.07768633907990688,-0.08895139186791123,-0.08108446271733522,0.17055575433940476,0.1587708017972421
high_to_low_roughness,stable_high_roughness,16,1,0,early,0.0,0.025839006879125943,0.0,0.02787142565257525,0.0,-0.0020324187734493057
high_to_low_roughness,stable_high_roughness,16,1,3,early,-0.30338597590288546,0.00292333714042603,-0.2955392865637217,0.0014085693130359012,-0.00784668933916377,0.0015147678273901288
high_to_low_roughness,stable_high_roughness,16,1,6,early,-0.42297434356820063,0.08139277946759726,-0.41279332514755634,0.06622511252300278,-0.010181018420644283,0.015167666944594482
high_to_low_roughness,stable_high_roughness,16,1,9,early,0.4155978943562098,-0.019734384178256098,0.5585876084826848,-0.00872626903986895,-0.14298971412647504,-0.011008115138387148
high_to_low_roughness,stable_high_roughness,16,1,12,early,0.003271050205348903,0.010276122694698223,0.03850056421153439,-0.0030723887670939336,-0.035229514006185486,0.013348511461792157
high_to_low_roughness,stable_high_roughness,16,1,15,early,-0.008230767590157596,-0.0005421584129989207,0.011728931857656708,-0.002497659951074682,-0.019959699447814304,0.001955501538075761
high_to_low_roughness,stable_high_roughness,16,1,18,early,-0.22498110757008674,-0.2243433646666995,-0.2454190606782663,-0.23363382513157047,0.020437953108179557,0.009290460464870975
high_to_low_roughness,stable_high_roughness,16,1,21,early,0.12165498420349487,0.004785494375508627,0.11545212357154289,0.011156255896665475,0.006202860631951981,-0.006370761521156848
high_to_low_roughness,stable_high_roughness,16,1,24,early,-0.42649940092131056,-0.3273067690850956,-0.5102332476010454,-0.2943489169840102,0.08373384667973482,-0.03295785210108537
high_to_low_roughness,stable_high_roughness,16,1,27,early,-0.021523434270106195,-0.147981168537403,0.0012333241734480745,0.012081266986960458,-0.02275675844355427,-0.16006243552436347
high_to_low_roughness,stable_high_roughness,16,1,30,early,0.05928043025516416,0.1539557905265715,0.023520229529485515,-0.14749461260002827,0.03576020072567865,0.30145040312659976
high_to_low_roughness,stable_high_roughness,16,1,33,early,0.03252320757951232,-0.008787514306261443,-0.013770641065507157,-0.010940413242480483,0.046293848645019474,0.00215289893621904
high_to_low_roughness,stable_high_roughness,16,1,36,mid,0.03751977279371854,-0.05786485278858491,-0.13433794108081942,-0.18181790634403477,0.17185771387453797,0.12395305355544986
high_to_low_roughness,stable_high_roughness,16,1,39,mid,2.059009185516683e-05,0.16073216743822702,0.007772082718530561,0.27951923411687013,-0.007751492626675394,-0.11878706667864311
high_to_low_roughness,stable_high_roughness,16,1,42,mid,0.013982958650241337,0.007961850954157468,-0.009519373654446325,-0.02541768281589986,0.02350233230468766,0.033379533770057326
high_to_low_roughness,stable_high_roughness,16,1,45,mid,-0.0049164404223638325,0.40849115166652616,-0.6326033889724101,-0.035108356338052094,0.6276869485500463,0.44359950800457826
