transition,horizon,period,n_blocks,adaptive_mse,frozen_mse,benchmark_mse,adaptive_rmse_vs_frozen,adaptive_relative_rmsfe_vs_no_change,frozen_relative_rmsfe_vs_no_change,mean_adaptive_mse_advantage_vs_frozen,order_diff_share,window_diff_share,mean_abs_smoothness_change
high_to_low,6,mid,360,0.3921489625546587,0.5020963256366101,0.9102304331012251,0.8837552639149356,0.656371717321933,0.7427075618359326,0.10994736308195134,0.5027777777777778,0.5361111111111111,0.23378393859196156
high_to_low,12,all_post,1110,0.542788321768694,0.7090802005137846,2.2312544332704083,0.8749184364139514,0.4932200233132239,0.5637325752727264,0.16629187874509058,0.4063063063063063,0.46756756756756757,0.10247738000666884
high_to_low,12,early,360,0.5910212031203097,0.5905683292554493,1.7063081861338218,1.000383348593876,0.5885356753319045,0.588310147464111,-0.00045287386486043935,0.20833333333333334,0.3138888888888889,0.06688368101161749
high_to_low,12,late,390,0.4736873156548406,0.8858408648893213,2.826344361714221,0.7312536085576969,0.40938633307918826,0.5598417953610509,0.41215354923448055,0.5,0.49743589743589745,0.11798690770025208
high_to_low,12,mid,360,0.5694148637070863,0.6361013520319553,2.1115199245928635,0.9461309304158481,0.519298188780271,0.5488650376877823,0.06668648832486905,0.5027777777777778,0.5888888888888889,0.12126909066700499
low_to_high,1,all_post,1200,0.16226515678415154,0.3519512518063672,0.12798887689788147,0.6790025100918021,1.1259692308450036,1.6582696147806153,0.18968609502221573,0.5733333333333334,0.5825,0.40296366884816287
low_to_high,1,early,360,0.21388329413987148,0.2681668238722709,0.11254915357275325,0.8930708373550125,1.378533471725476,1.5435880493066454,0.05428352973239944,0.36666666666666664,0.4666666666666667,0.12817932278573238
low_to_high,1,late,480,0.13363795422271052,0.41001175127495426,0.13780544552451232,0.570908826279393,0.984762992936028,1.7249041311091973,0.2763737970522437,0.6916666666666667,0.5666666666666667,0.5549849692761282
low_to_high,1,mid,360,0.1488166228436862,0.3583216804490143,0.13033984205416851,0.6444499276262609,1.0685310019940983,1.6580512405826153,0.20950505760532806,0.6222222222222222,0.7194444444444444,0.4750529476733063
low_to_high,3,all_post,1200,0.2546633861120939,0.38717857392070676,0.32099678110663254,0.8110125910622501,0.8907030018291627,1.0982603866390477,0.1325151878086128,0.5216666666666666,0.5683333333333334,0.3083288442838728
low_to_high,3,early,360,0.24985315876755287,0.2909416231751025,0.2658965209544694,0.9267007051002082,0.9693622316427126,1.0460359275737157,0.041088464407549694,0.3416666666666667,0.40555555555555556,0.07354228428992339
low_to_high,3,late,480,0.24996329556729718,0.45006345514969864,0.3687966665965252,0.745248732306089,0.8232744309957534,1.104697526218156,0.20010015958240143,0.6541666666666667,0.6291666666666667,0.4815779162104786
low_to_high,3,mid,360,0.2657404008496973,0.3995690163609884,0.3123638606056055,0.8155167596343048,0.9223556278400099,1.131007569057948,0.13382861551129102,0.525,0.65,0.3121166417090145
low_to_high,6,all_post,1170,0.39576757475116164,0.5049563139339206,0.7441744507461311,0.8853055795119605,0.7292605606400557,0.8237388055795071,0.10918873918275906,0.46495726495726497,0.5435897435897435,0.1396858723158203
low_to_high,6,early,360,0.37899955317845413,0.37723924510366974,0.5829291642231154,1.002330430022124,0.806327472696254,0.804452751851958,-0.0017603080747843754,0.2833333333333333,0.32222222222222224,0.04774197673280362
low_to_high,6,late,450,0.3826233039480278,0.5854226304515594,0.8962360179344987,0.808445886036356,0.6533930521246021,0.8082087662392023,0.20279932650353172,0.5688888888888889,0.6488888888888888,0.23869667486770405
low_to_high,6,mid,360,0.4289659348277864,0.532090487117123,0.7153427782836874,0.8978807390151174,0.7743803141574503,0.8624534200464815,0.10312455228933667,0.5166666666666667,0.6333333333333333,0.10786626470898227
low_to_high,12,all_post,1110,0.6296609397475431,1.0017728767290321,2.085803340789539,0.792809311310117,0.5494354756026433,0.6930234897149496,0.37211193698148903,0.44324324324324327,0.5234234234234234,0.06131743097246733
low_to_high,12,early,360,0.6238329666730262,0.7323937975355805,1.5871563070757357,0.9229152705513896,0.6269375914550901,0.6793013524204995,0.10856083086255434,0.24722222222222223,0.4,0.032652597741378214
low_to_high,12,late,390,0.5897493997237807,1.1325874984457278,2.6042608391775066,0.7216022388442088,0.4758734919618271,0.6594678707261694,0.5428380987219472,0.5256410256410257,0.5794871794871795,0.08049465363411165
low_to_high,12,mid,360,0.6787264145144691,1.1294361157293968,2.022788084583045,0.775204955293063,0.5792581891868233,0.7472323096384712,0.45070970121492765,0.55,0.5861111111111111,0.06920693965344178
stable_high,1,all_post,1200,0.13424110302722697,0.12797190255961452,0.12765997843140323,1.0242015828264237,1.0254520854419615,1.0012209536057215,-0.006269200467612471,0.3025,0.5216666666666666,0.2830123597468352
stable_high,1,early,360,0.12053006069409214,0.11810182271124273,0.1114532778059841,1.0102279674439074,1.0399231946255478,1.0293945803705828,-0.0024282379828494054,0.16666666666666666,0.37777777777777777,0.16676205375761421
stable_high,1,late,480,0.1336345359685291,0.136802362788687,0.13780544558515473,0.9883540717518803,0.9847503982742973,0.9963538638828134,0.0031678268201578994,0.36041666666666666,0.6583333333333333,0.33607058576298815
stable_high,1,mid,360,0.14876090143862564,0.12606803543588962,0.13033938951848698,1.0862803114293573,1.0683327928541413,0.9834780043545112,-0.02269286600273603,0.3611111111111111,0.48333333333333334,0.32851836438118553
stable_high,3,all_post,1200,0.2390546932692983,0.2648733675795819,0.3198974627903166,0.9500128740463581,0.8644566896065978,0.9099420789158849,0.025818674310283653,0.2866666666666667,0.5291666666666667,0.33973787135354117
stable_high,3,early,360,0.2127891445385138,0.2152694026565647,0.26223308381469707,0.9942224865513203,0.9008054253995794,0.9060400841709197,0.002480258118050871,0.13333333333333333,0.3972222222222222,0.16414813008597337
stable_high,3,late,480,0.25023086545072065,0.2810791467495652,0.36879666663413224,0.9435308959692887,0.8237149446793546,0.8730132189610523,0.030848281298844517,0.3875,0.5729166666666666,0.45552763320302886
stable_high,3,mid,360,0.25041867909151955,0.2928696269426215,0.3123629033075156,0.9246900685434852,0.8953722592838176,0.9682944477755154,0.042450947851101956,0.3055555555555556,0.6027777777777777,0.3609412634884586
stable_high,6,all_post,1170,0.39694405663500343,0.46994737618571886,0.7412274608167555,0.9190519000882865,0.7317940963801244,0.7962489347008872,0.07300331955071543,0.3871794871794872,0.5914529914529915,0.2952223794397723
stable_high,6,early,360,0.35725211945729307,0.3541751991966221,0.573354301356515,1.004334389311717,0.7893613710229479,0.7859547372104896,-0.003076920260670948,0.19722222222222222,0.37222222222222223,0.1944529698953961
stable_high,6,late,450,0.38266474167811976,0.5503270856978981,0.8962360179302107,0.833870826847602,0.6534284320829606,0.7836086969887256,0.1676623440197783,0.5333333333333333,0.7488888888888889,0.38537473120943244
stable_high,6,mid,360,0.4544851375088186,0.4852449162845916,0.7153399238851774,0.9677860231676662,0.7970831174767607,0.8236150330708676,0.030759778775773204,0.39444444444444443,0.6138888888888889,0.2833013492720735
stable_high,12,all_post,1110,0.6343073624350648,0.7665815923126865,2.0783937628295903,0.9096423739307816,0.5524410740368723,0.6073167762069424,0.13227422987762164,0.38828828828828826,0.5513513513513514,0.13996566385437492
stable_high,12,early,360,0.6012310136489092,0.5990222787013497,1.5643176618724957,1.0018419203598425,0.6199522108719908,0.6188124076993262,-0.0022087349475595247,0.23055555555555557,0.4027777777777778,0.09174775411946953
stable_high,12,late,390,0.6119862222445029,0.928048602584754,2.604260838404604,0.8120550320538952,0.48476201531636254,0.5969570979571117,0.316062380340251,0.49743589743589745,0.6025641025641025,0.15615442618324668
stable_high,12,mid,360,0.6915649464276626,0.759218311462617,2.0227805319137535,0.9544059734885707,0.5847121298860769,0.6126450861878213,0.06765336503495435,0.42777777777777776,0.6444444444444445,0.17064574773300256
stable_low,1,all_post,1200,0.33726216003275394,0.4440648194515927,0.5100479026103606,0.8714864209960953,0.8131643408780104,0.9330774654510122,0.10680265941883879,0.5616666666666666,0.5791666666666667,0.059812021523320213
stable_low,1,early,360,0.33159264692633916,0.34938794680668117,0.4959875732249571,0.9742008102589591,0.8176492598901677,0.8393025865712661,0.017795299880342005,0.36666666666666664,0.4583333333333333,0.0500540258149649
stable_low,1,late,480,0.3255304819603284,0.5075614112345305,0.527178596660582,0.8008506501388661,0.7858089044731894,0.9812177892806,0.18203092927420203,0.7145833333333333,0.6145833333333334,0.06704352879013452
stable_low,1,mid,360,0.35857391056906945,0.45407956971925406,0.5012673065954687,0.8886348940209603,0.8457746297388964,0.9517684207873869,0.09550565915018462,0.5527777777777778,0.6527777777777778,0.05992800754258978
stable_low,3,all_post,1200,0.3267469629343013,0.42968125032771204,0.6363819914851552,0.8720323135795225,0.7165505589317803,0.821701842665073,0.10293428739341073,0.4558333333333333,0.56,0.03549692516308573
stable_low,3,early,360,0.3199474283178234,0.34386676044199715,0.5861002731681458,0.9645932383887275,0.7388450192425513,0.7659653725924207,0.02391933212417374,0.30833333333333335,0.35833333333333334,0.031176383944134738
stable_low,3,late,480,0.3284432205335373,0.5017606371916762,0.703478066115135,0.8090620990192836,0.6832896941682443,0.8445454248771556,0.17331741665813893,0.5125,0.69375,0.039296886721823784
stable_low,3,mid,360,0.33128482075179766,0.4193898910614744,0.5972022769621913,0.8887749173056859,0.7448006400358017,0.8380081677976003,0.0881050703096768,0.5277777777777778,0.5833333333333334,0.03475085097038599
stable_low,6,all_post,1170,0.36610262107430824,0.5012933197479633,0.9774292250912748,0.8545853833757245,0.6120103389857501,0.7161488493615803,0.13519069867365507,0.4598290598290598,0.49743589743589745,0.037610558741031974
stable_low,6,early,360,0.35540978704407017,0.39101264766529653,0.8182587780134639,0.953387138454419,0.6590515032898846,0.6912737509321808,0.035602860621226355,0.2777777777777778,0.30833333333333335,0.02687707861387429
stable_low,6,late,450,0.3642695077165443,0.6036763411679696,1.1585246163455638,0.7768002051446175,0.5607364352119987,0.7218541286399455,0.23940683345142533,0.5088888888888888,0.5977777777777777,0.04293039483512577
stable_low,6,mid,360,0.3790868468017509,0.48359521505562203,0.9102304331012251,0.8853772539982114,0.6453475744000462,0.728895588276938,0.10450836825387112,0.5805555555555556,0.5611111111111111,0.04169424375057241
stable_low,12,all_post,1110,0.4964713588049091,0.8928160042156409,2.236658743470103,0.745703388154334,0.4711370259816131,0.6318021796142148,0.3963446454107317,0.436036036036036,0.509009009009009,0.03515742251585051
stable_low,12,early,360,0.5113444096767101,0.6572621582283886,1.7229714759162145,0.8820382966491264,0.54477568108227,0.6176326846032413,0.14591774855167855,0.21388888888888888,0.31666666666666665,0.025019156224766765
stable_low,12,late,390,0.46870690173394564,1.072458459949196,2.826344361714221,0.6610897666826583,0.40722847383316063,0.6159957306201078,0.6037515582152503,0.5205128205128206,0.5564102564102564,0.0410171471278903
stable_low,12,mid,360,0.5116764697599853,0.933757189824875,2.1115199245928635,0.7402539669907118,0.4922663288627488,0.664996542826937,0.42208072006488984,0.5666666666666667,0.65,0.038947653810557814
