transition,horizon,period,n_blocks,adaptive_mse,frozen_mse,benchmark_mse,adaptive_rmse_vs_frozen,adaptive_relative_rmsfe_vs_no_change,frozen_relative_rmsfe_vs_no_change,mean_adaptive_mse_advantage_vs_frozen,order_diff_share,window_diff_share,mean_abs_smoothness_change
high_to_low_roughness,12,late,390,0.33058560197984604,0.4939924148024342,6.221402664096753,0.8180537262039085,0.2305142680852584,0.28178377617682326,0.16340681282258812,0.4128205128205128,0.6358974358974359,0.061219644772366
high_to_low_roughness,12,mid,360,0.39176300341118075,0.4995930777126905,5.59025215325458,0.8855304594409756,0.2647256427668889,0.2989458351709403,0.10783007430150975,0.42777777777777776,0.5388888888888889,0.055054769920062335
low_to_high_roughness,1,all_post,1200,0.36741776595024817,1.0111209368377596,0.5151847615384947,0.6028073298147335,0.8444978956634727,1.400941650664766,0.6437031708875115,0.5758333333333333,0.6316666666666667,0.07297032250650286
low_to_high_roughness,1,early,360,0.3559840504570473,0.4822497449961558,0.4871496120207198,0.8591703216868727,0.854838531573107,0.9949581706858067,0.12626569453910852,0.43333333333333335,0.55,0.043114071404110554
low_to_high_roughness,1,late,480,0.3408693865931756,1.3140775412699617,0.5429364668665992,0.5093115242266941,0.7923544353568059,1.5557363178849448,0.9732081546767859,0.625,0.6770833333333334,0.09263209176379016
low_to_high_roughness,1,mid,360,0.4142493205862126,1.1360499894364275,0.506217637285464,0.6038543252791025,0.9046118367904878,1.4980630243434534,0.7218006688502151,0.6527777777777778,0.6527777777777778,0.07661088126584545
low_to_high_roughness,3,all_post,1200,0.37537686325964853,1.0162321602742597,0.6399654616407066,0.6077672346211602,0.765870748326198,1.2601382646163684,0.6408552970146111,0.5108333333333334,0.5666666666666667,0.04901015251235383
low_to_high_roughness,3,early,360,0.366056947168474,0.5073588776864871,0.5312055978914874,0.849408680121656,0.8301240671853038,0.9772964258693587,0.14130193051801318,0.37777777777777777,0.35,0.036353483383366955
low_to_high_roughness,3,late,480,0.37875023523929613,1.335524922828604,0.760503318362345,0.532537821235,0.7057093946170465,1.3251817363515084,0.9567746875893076,0.575,0.7125,0.05951080705278921
low_to_high_roughness,3,mid,360,0.3801989500446263,1.0993817594562396,0.588008183094408,0.5880729361341295,0.8041068681250789,1.367359078639313,0.7191828094116133,0.5583333333333333,0.5888888888888889,0.047665948920760176
