direction,matched_control,seed,horizon,relative_origin,period,transition_adaptive_mse,transition_frozen_mse,transition_adaptive_mse_advantage,control_adaptive_mse,control_frozen_mse,control_adaptive_mse_advantage,excess_adaptive_mse_advantage
low_to_high_roughness,stable_low_roughness,0,3,27,early,0.062288134366157995,0.06224627070958013,-4.1863656577864616e-05,0.0208698141446574,0.024179380374704407,0.0033095662300470056,-0.0033514298866248703
low_to_high_roughness,stable_low_roughness,0,3,30,early,0.5348710190977107,0.5348901809364358,1.916183872507915e-05,0.15098875236396278,0.19752403553066825,0.046535283166705466,-0.046516121327980386
low_to_high_roughness,stable_low_roughness,0,3,33,early,0.21232315284396885,0.24059889469470142,0.02827574185073256,0.15305414825379005,0.16258525079302996,0.009531102539239916,0.018744639311492645
low_to_high_roughness,stable_low_roughness,0,3,36,mid,0.5966576740720125,0.5173129744044997,-0.07934469966751279,0.5534615398215857,0.5024328273576992,-0.051028712463886516,-0.02831598720362627
low_to_high_roughness,stable_low_roughness,0,3,39,mid,0.42065559236204697,0.43459816992410455,0.013942577562057579,0.46903449002670533,0.494394971276773,0.02536048125006768,-0.0114179036880101
low_to_high_roughness,stable_low_roughness,0,3,42,mid,0.059459990876457945,0.07140749742876953,0.011947506552311589,0.21176607978143094,0.20291834498396,-0.008847734797470946,0.020795241349782535
low_to_high_roughness,stable_low_roughness,0,3,45,mid,0.6822315424590238,0.6633370697693242,-0.018894472689699682,0.29964481076614957,0.37015584013328423,0.07051102936713466,-0.08940550205683434
low_to_high_roughness,stable_low_roughness,0,3,48,mid,0.48226056399990586,0.4825900938680949,0.00032952986818907126,0.16432308473618243,0.16744913796465855,0.0031260532284761167,-0.0027965233602870454
low_to_high_roughness,stable_low_roughness,0,3,51,mid,0.050594534350489516,0.14174235854302822,0.0911478241925387,0.047803460912197615,0.04259505258240029,-0.005208408329797326,0.09635623252233602
low_to_high_roughness,stable_low_roughness,0,3,54,mid,0.2664632837441,0.5226742115723121,0.2562109278282121,0.23452714167950406,0.2690189646309389,0.034491822951434825,0.22171910487677726
low_to_high_roughness,stable_low_roughness,0,3,57,mid,0.8960949899077607,0.4743891913195009,-0.4217057985882598,0.5693303345281207,0.6077090269314555,0.0383786924033348,-0.4600844909915946
low_to_high_roughness,stable_low_roughness,0,3,60,mid,0.7972953878135178,0.4711363840502905,-0.3261590037632273,0.5193650267716932,0.32106085810954005,-0.1983041686621531,-0.1278548351010742
low_to_high_roughness,stable_low_roughness,0,3,63,mid,0.08198056729462051,0.06203634028444325,-0.019944227010177264,0.08280036854194996,0.17375604304963488,0.09095567450768492,-0.11089990151786219
low_to_high_roughness,stable_low_roughness,0,3,66,mid,0.8424417846428486,0.8275749802541013,-0.014866804388747323,0.31950832276144503,0.28653421839173726,-0.03297410436970777,0.018107299980960445
low_to_high_roughness,stable_low_roughness,0,3,69,mid,0.1504978902427739,0.04101581636660089,-0.10948207387617301,0.03556800467252593,0.09016529834532992,0.05459729367280399,-0.164079367548977
low_to_high_roughness,stable_low_roughness,0,3,72,late,0.288209326871198,0.24217982757100567,-0.04602949930019232,0.09088679122865796,0.06891286520248967,-0.021973926026168294,-0.024055573274024022
low_to_high_roughness,stable_low_roughness,0,3,75,late,0.17864602209328018,0.33547296526431675,0.15682694317103657,0.3124640566379802,0.18861984394803297,-0.12384421268994725,0.2806711558609838
low_to_high_roughness,stable_low_roughness,0,3,78,late,0.35521935550761435,0.3999030218387554,0.04468366633114107,0.4747461045357033,0.3722010103695277,-0.10254509416617563,0.1472287604973167
low_to_high_roughness,stable_low_roughness,0,3,81,late,0.0676077057336103,0.05683731133818598,-0.01077039439542432,0.06094304392087155,0.04834683326744995,-0.012596210653421598,0.0018258162579972773
low_to_high_roughness,stable_low_roughness,0,3,84,late,0.41412812181388153,0.5497582656635456,0.13563014384966404,0.2967230968524141,0.4119226206469142,0.1151995237945001,0.02043062005516394
low_to_high_roughness,stable_low_roughness,0,3,87,late,0.1450368220420613,0.6342345688678065,0.4891977468257452,0.24408276065654042,0.41632829578954156,0.17224553513300114,0.316952211692744
low_to_high_roughness,stable_low_roughness,0,3,90,late,0.3883345226724399,0.087231204421153,-0.3011033182512869,0.07456717573411742,0.06938484107409464,-0.005182334660022783,-0.2959209835912641
low_to_high_roughness,stable_low_roughness,0,3,93,late,0.4426355859446254,0.21027597932032438,-0.232359606624301,0.24550405173220288,0.249360434087003,0.0038563823548001253,-0.23621598897910112
low_to_high_roughness,stable_low_roughness,0,3,96,late,0.1439772464271429,0.2348889215401645,0.09091167511302159,0.144886156004123,0.1491182102962961,0.004232054292173104,0.08667962082084849
low_to_high_roughness,stable_low_roughness,0,3,99,late,0.17310765979889808,0.22174637406154782,0.048638714262649735,0.16950314572931338,0.18028198835669737,0.010778842627383989,0.037859871635265746
low_to_high_roughness,stable_low_roughness,0,3,102,late,0.22357936910433998,0.12907677927133185,-0.09450258983300813,0.2212280326226893,0.16584440096468178,-0.055383631658007526,-0.03911895817500061
low_to_high_roughness,stable_low_roughness,0,3,105,late,0.2300178346876319,0.23309783193398834,0.0030799972463564362,0.32022993520453286,0.16383139656596332,-0.15639853863856953,0.15947853588492597
low_to_high_roughness,stable_low_roughness,0,3,108,late,0.1390362432602954,0.2334559132456535,0.09441966998535811,0.15574674489230197,0.1378677581524148,-0.017878986739887165,0.11229865672524528
