direction,horizon,relative_origin,transition_smoothness,start_reference_smoothness,target_reference_smoothness,mean_abs_smoothness_gap_to_target,mean_transition_order,mean_start_order,mean_target_order,mean_transition_window,mean_start_window,mean_target_window,order_match_target_share,window_match_target_share,discrete_config_match_target_share,mean_transition_window_post_fraction,reference_smoothness_shift,smoothness_progress
high_to_low_roughness,3,3,0.9597840006618725,0.9596951474485348,0.9791203660859202,0.03208933246331872,2.033333333333333,2.033333333333333,1.9333333333333333,44.8,44.8,51.2,0.5333333333333333,0.3333333333333333,0.16666666666666666,0.08611111111111111,0.019425218637385444,0.004574116512991562
high_to_low_roughness,3,6,0.9434299555659382,0.9434881094168012,0.9820036625720764,0.043167373212036994,1.9666666666666666,2.0,1.9666666666666666,45.6,45.6,54.4,0.5666666666666667,0.26666666666666666,0.13333333333333333,0.16805555555555557,0.03851555315527522,-0.0015098796745432682
high_to_low_roughness,3,9,0.9529728882266554,0.9607520828447963,0.9837528900322412,0.03610010451588172,2.033333333333333,2.1,1.9666666666666666,44.8,44.0,56.0,0.6333333333333333,0.3,0.16666666666666666,0.25833333333333336,0.023000807187444905,-0.3382139833069522
high_to_low_roughness,3,12,0.9640311658060914,0.9603876817128815,0.9668512273804929,0.0379359457111365,2.1666666666666665,2.2333333333333334,1.8666666666666667,44.8,44.8,55.2,0.6,0.3333333333333333,0.23333333333333334,0.3444444444444444,0.006463545667611426,0.5636974318085615
high_to_low_roughness,3,15,0.9315088193240677,0.9430325732714074,0.9666754075829734,0.054550450316965614,2.1,2.2666666666666666,1.9333333333333333,48.0,46.4,52.8,0.6,0.36666666666666664,0.23333333333333334,0.3958333333333333,0.023642834311565997,-0.4874100031950209
high_to_low_roughness,3,18,0.9506666511965949,0.9593976217222253,0.9670331714688074,0.04880814151307984,2.1333333333333333,2.3,1.9666666666666666,48.0,47.2,52.8,0.5666666666666667,0.3,0.13333333333333333,0.4666666666666667,0.007635549746582093,-1.143463249589682
high_to_low_roughness,3,21,0.9521191122484773,0.9481474957100374,0.969558966662541,0.050989036126162325,2.1666666666666665,2.1333333333333333,2.033333333333333,54.4,48.0,59.2,0.5666666666666667,0.43333333333333335,0.23333333333333334,0.4763888888888889,0.02141147095250362,0.1854901303721741
high_to_low_roughness,3,24,0.968957652202032,0.9541190583840093,0.9803162781884364,0.02935356845533774,2.2666666666666666,2.1666666666666665,1.9666666666666666,55.2,54.4,52.8,0.6666666666666666,0.36666666666666664,0.23333333333333334,0.538888888888889,0.02619721980442702,0.5664186478106777
high_to_low_roughness,3,27,0.9691130053863437,0.9567238910237218,0.9828937253471163,0.028520181751991953,2.2,2.1666666666666665,2.033333333333333,51.2,50.4,53.6,0.7,0.4,0.3,0.6208333333333333,0.02616983432339448,0.4734120288849778
high_to_low_roughness,3,30,0.9686454615159169,0.956995172772759,0.9874096462325164,0.0250277843006446,2.1333333333333333,2.033333333333333,2.066666666666667,48.8,48.0,53.6,0.6666666666666666,0.36666666666666664,0.23333333333333334,0.6791666666666667,0.03041447345975734,0.3830508116003672
high_to_low_roughness,3,33,0.9662562816011879,0.9598620571035766,0.9865404517911157,0.02584865101505196,2.1,2.066666666666667,2.033333333333333,48.0,44.0,53.6,0.8,0.26666666666666666,0.16666666666666666,0.7180555555555554,0.026678394687539075,0.23967800808486797
high_to_low_roughness,3,36,0.9636913298736618,0.953337462533811,0.9875467537131064,0.031773213114449764,2.066666666666667,1.9666666666666666,2.1,44.0,36.8,53.6,0.6333333333333333,0.3333333333333333,0.2,0.7916666666666666,0.03420929117929539,0.30266243417862115
high_to_low_roughness,3,39,0.9655009079692864,0.9531403765044445,0.989084376385415,0.02786213912560457,2.033333333333333,2.0,2.033333333333333,44.8,39.2,52.8,0.6666666666666666,0.23333333333333334,0.16666666666666666,0.8125,0.03594399988097052,0.3438830265350035
high_to_low_roughness,3,42,0.9710054372644975,0.9549854511621908,0.9876373105646378,0.025488984836119707,2.033333333333333,1.9666666666666666,2.1,45.6,40.0,51.2,0.6333333333333333,0.36666666666666664,0.26666666666666666,0.8319444444444444,0.03265185940244697,0.49063013241770076
high_to_low_roughness,3,45,0.9712235681660188,0.9517943109862013,0.9858537205586072,0.024898270025821782,2.0,1.9333333333333333,2.0,45.6,37.6,56.0,0.6666666666666666,0.23333333333333334,0.2,0.8604166666666667,0.03405940957240594,0.5704519668349938
high_to_low_roughness,3,48,0.9658724371302909,0.9555079371109092,0.9855950008092648,0.026673682844356266,1.9333333333333333,2.033333333333333,2.066666666666667,44.0,40.0,56.8,0.7333333333333333,0.43333333333333335,0.36666666666666664,0.9,0.030087063698355565,0.34448360010445944
high_to_low_roughness,3,51,0.9756007806330959,0.9546516503122046,0.9858560564765592,0.02365687981527186,1.9666666666666666,2.033333333333333,1.9666666666666666,44.8,41.6,52.8,0.7333333333333333,0.5666666666666667,0.43333333333333335,0.9125,0.031204406164354603,0.6713516742011227
high_to_low_roughness,3,54,0.9763591518433646,0.9538953977927423,0.9863845076419521,0.020877916139991456,1.9666666666666666,2.1,2.033333333333333,44.0,43.2,56.0,0.7333333333333333,0.43333333333333335,0.36666666666666664,0.9416666666666667,0.03248910984920972,0.6914241158001042
high_to_low_roughness,3,57,0.9801899309854786,0.9552916097366231,0.9876027951889981,0.018147870575424507,2.0,2.1,2.1,48.8,40.8,55.2,0.7,0.5333333333333333,0.4,0.9305555555555556,0.03231118545237499,0.7705790084846724
high_to_low_roughness,3,60,0.9702119589396382,0.9489769162986826,0.9855656451645487,0.03034295659980587,2.033333333333333,2.2333333333333334,2.066666666666667,48.0,46.4,56.0,0.6333333333333333,0.4666666666666667,0.36666666666666664,0.95,0.03658872886586606,0.5803711497823009
high_to_low_roughness,3,63,0.9688582287866064,0.9457498198776555,0.970348452328147,0.009200272383453644,2.0,2.2,2.066666666666667,47.2,41.6,56.8,0.7333333333333333,0.36666666666666664,0.3333333333333333,0.9625,0.024598632450491542,0.9394184394380499
high_to_low_roughness,3,66,0.9700619883866535,0.9492352434700886,0.9678700579374269,0.011948883578822933,2.0,2.3,2.066666666666667,45.6,47.2,57.6,0.6666666666666666,0.43333333333333335,0.3333333333333333,0.9777777777777777,0.01863481446733828,1.1176255579613343
high_to_low_roughness,3,69,0.9690082203267191,0.949358960960815,0.9683975592862308,0.010751286352702876,2.066666666666667,2.2666666666666666,2.1,52.0,44.0,58.4,0.8,0.5666666666666667,0.5666666666666667,0.9847222222222223,0.01903859832541588,1.0320748949082572
high_to_low_roughness,3,72,0.9671848349492348,0.9330144206090616,0.9643762325959232,0.0128674494600153,2.033333333333333,2.066666666666667,2.066666666666667,55.2,48.8,55.2,0.8,0.6333333333333333,0.5666666666666667,1.0,0.03136181198686161,1.0895548495249
high_to_low_roughness,3,75,0.9702338432451466,0.9395257021719611,0.9714462340459175,0.005881642769196305,2.033333333333333,2.066666666666667,2.1,54.4,44.8,57.6,0.8666666666666667,0.6,0.6,1.0,0.03192053187395638,0.9620184649316567
