direction,matched_control,horizon,seed,mean_excess_adaptive_mse_advantage,transition_adaptive_mse_advantage,control_adaptive_mse_advantage
high_to_low,stable_high,12,15,-0.10693258029080849,0.09161363838072739,0.19854621867153588
high_to_low,stable_high,12,16,0.06303246975900598,0.04618947766130591,-0.016842992097700057
high_to_low,stable_high,12,17,-0.029211165482359674,-0.0463405231665773,-0.01712935768421763
high_to_low,stable_high,12,18,0.02427883548237866,0.40394897102924215,0.37967013554686346
high_to_low,stable_high,12,19,-0.0489049001371846,-0.05380177317356807,-0.004896873036383468
high_to_low,stable_high,12,20,0.03947962726147378,0.024445411906632533,-0.015034215354841243
high_to_low,stable_high,12,21,0.11830831855335477,1.8326614889028046,1.7143531703494497
high_to_low,stable_high,12,22,-0.05430657460488635,-0.16585401829282548,-0.1115474436879391
high_to_low,stable_high,12,23,-0.47842448790836695,0.06374861882525938,0.5421731067336264
high_to_low,stable_high,12,24,0.0803184524586015,-0.2346794096451992,-0.3149978621038007
high_to_low,stable_high,12,25,-0.015112050334818225,-0.003725111942391341,0.011386938392426901
high_to_low,stable_high,12,26,-0.01152185012330615,-0.03242830533398685,-0.020906455210680706
high_to_low,stable_high,12,27,-0.04858914455215743,-0.005596864795430309,0.042992279756727134
high_to_low,stable_high,12,28,-0.01697021668204081,0.002571865962153422,0.019542082644194242
high_to_low,stable_high,12,29,0.036067447724548174,-0.03581117182522083,-0.07187861954976901
low_to_high,stable_low,1,0,0.09477986052275576,0.09084172899660639,-0.003938131526149394
low_to_high,stable_low,1,1,0.008376211254246351,0.004893994028555293,-0.0034822172256910575
low_to_high,stable_low,1,2,0.11884747539472781,0.0945390440538471,-0.024308431340880707
low_to_high,stable_low,1,3,0.13649125963148429,0.32187377489409497,0.18538251526261068
low_to_high,stable_low,1,4,0.17078901926733078,0.1492179328819991,-0.021571086385331652
low_to_high,stable_low,1,5,0.06765760118091609,0.0751796636736705,0.007522062492754414
low_to_high,stable_low,1,6,-0.03175746918718244,0.5712230143115874,0.6029804834987699
low_to_high,stable_low,1,7,0.044766388872784814,0.024028318090140284,-0.020738070782644523
low_to_high,stable_low,1,8,0.022998372886471368,0.0510902359286449,0.02809186304217353
low_to_high,stable_low,1,9,0.03971908752828862,0.03682697731183763,-0.0028921102164509924
low_to_high,stable_low,1,10,0.12691453987450677,0.08496349008943001,-0.04195104978507673
low_to_high,stable_low,1,11,0.054324253379520585,0.05480466692431045,0.0004804135447898872
low_to_high,stable_low,1,12,0.07420034479906329,0.08842786450274309,0.014227519703679798
low_to_high,stable_low,1,13,0.05712998616976368,0.10315714902136222,0.04602716285159854
low_to_high,stable_low,1,14,0.06812479510949247,0.8888530096752515,0.8207282145657591
low_to_high,stable_low,1,15,0.0763877673757768,0.045020723863878884,-0.03136704351189791
low_to_high,stable_low,1,16,0.10339284959589819,0.02511407703880566,-0.07827877255709251
low_to_high,stable_low,1,17,0.11243383209218423,0.1373577915859619,0.024923959493777653
low_to_high,stable_low,1,18,0.18300913875000493,0.17014264818241695,-0.012866490567587999
low_to_high,stable_low,1,19,0.06060305093463205,-0.010624151053482645,-0.07122720198811469
low_to_high,stable_low,1,20,0.09837084671445731,0.06465333107106341,-0.03371751564339387
low_to_high,stable_low,1,21,-0.022592252797838518,-0.046842890132294326,-0.02425063733445581
low_to_high,stable_low,1,22,0.0636240207732869,0.024102532001883253,-0.03952148877140364
low_to_high,stable_low,1,23,0.0760615628919159,0.062434508387914936,-0.013627054504000957
low_to_high,stable_low,1,24,-0.023602009335943325,-0.019630004578680246,0.0039720047572630885
low_to_high,stable_low,1,25,-0.014613143982872062,0.045148938341514885,0.05976208232438694
low_to_high,stable_low,1,26,0.08293823689791918,0.07604726489947913,-0.006890971998440067
low_to_high,stable_low,1,27,0.14198812886034928,0.12798570408418591,-0.014002424776163369
low_to_high,stable_low,1,28,0.08675325386050473,0.03377149845101055,-0.052981755409494166
low_to_high,stable_low,1,29,0.08135958781552519,0.04684320966118245,-0.034516378154342726
low_to_high,stable_low,3,0,0.09037393521106353,0.07450417483759408,-0.015869760373469446
low_to_high,stable_low,3,1,-0.044817466752078136,-0.062297563466028584,-0.017480096713950444
low_to_high,stable_low,3,2,0.10801421405005178,0.5474589544725486,0.43944474042249687
low_to_high,stable_low,3,3,0.027373480900870707,0.04303917621605119,0.015665695315180483
low_to_high,stable_low,3,4,0.08362724992544746,0.06679308981783913,-0.016834160107608312
low_to_high,stable_low,3,5,-0.005718272160258223,-0.0042202949653555475,0.001497977194902672
low_to_high,stable_low,3,6,-0.11845643038944556,0.3163992648864177,0.4348556952758632
low_to_high,stable_low,3,7,0.05186470696702365,0.1030616654704786,0.05119695850345494
low_to_high,stable_low,3,8,0.012408463483522428,0.013530478615729414,0.0011220151322069855
