direction,matched_control,seed,horizon,relative_origin,period,transition_adaptive_mse,transition_frozen_mse,transition_adaptive_mse_advantage,control_adaptive_mse,control_frozen_mse,control_adaptive_mse_advantage,excess_adaptive_mse_advantage
low_to_high,stable_low,0,1,84,late,0.3210543618271453,0.25159902002224144,-0.06945534180490387,0.9138934168871561,0.8617267536545801,-0.052166663232576016,-0.017288678572327854
low_to_high,stable_low,0,1,87,late,0.19779541541221468,0.6318944545328367,0.434099039120622,0.5932797698303982,0.4986676672382853,-0.09461210259211289,0.5287111417127348
low_to_high,stable_low,0,1,90,late,0.07156088848956083,0.13336251874913824,0.06180163025957741,0.31279256998018085,0.21879981685712022,-0.09399275312306063,0.15579438338263804
low_to_high,stable_low,0,1,93,late,0.0576998884347441,0.1640641147133415,0.1063642262785974,0.06381339956134198,0.13376909358338374,0.06995569402204176,0.036408532256555645
low_to_high,stable_low,0,1,96,late,0.14215540229543808,0.0008409846662049036,-0.14131441762923316,0.21201126567876272,0.2795936507287272,0.0675823850499645,-0.20889680267919766
low_to_high,stable_low,0,1,99,late,0.005292007462544397,0.12720364308266086,0.12191163562011646,0.07424736625475095,0.01780462232981493,-0.05644274392493602,0.17835437954505248
low_to_high,stable_low,0,1,102,late,0.11660270469713474,0.2807637356472921,0.16416103095015738,0.7959415094758635,0.6951288838612332,-0.10081262561463034,0.2649736565647877
low_to_high,stable_low,0,1,105,late,0.0027304070445260064,0.12238852521600237,0.11965811817147635,0.005372994054886915,0.045697625121695534,0.04032463106680862,0.07933348710466773
low_to_high,stable_low,0,1,108,late,0.0006293885917919217,0.2307042080319919,0.23007481944019997,0.031391104906662894,0.00788122911541552,-0.023509875791247373,0.25358469523144733
low_to_high,stable_low,0,1,111,late,0.20334564170699773,0.608079053344216,0.4047334116372182,0.9704113149510806,0.9839537750681043,0.013542460117023758,0.39119095152019445
low_to_high,stable_low,0,1,114,late,0.1366227722614373,0.6094532493428089,0.4728304770813716,0.7445439646778851,0.656371632914864,-0.08817233176302108,0.5610028088443927
low_to_high,stable_low,0,1,117,late,0.0946169484878957,0.22035400560365542,0.12573705711575972,0.6550112412507817,0.5345033738659822,-0.12050786738479946,0.24624492450055918
low_to_high,stable_low,0,3,0,early,0.4130144721615811,0.4130144721615811,0.0,0.9952429868100728,0.9952429868100728,0.0,0.0
low_to_high,stable_low,0,3,3,early,0.21700496253550874,0.20101850419538017,-0.015986458340128573,0.0502583415045282,0.030540661150556717,-0.019717680353971485,0.0037312220138429122
low_to_high,stable_low,0,3,6,early,0.023748191414795283,0.008267278542178754,-0.015480912872616529,0.12249303084255692,0.04010574670597461,-0.0823872841365823,0.06690637126396577
low_to_high,stable_low,0,3,9,early,0.23450878429269476,0.45717632206851694,0.22266753777582218,0.26478082335830905,0.3856855519570037,0.12090472859869467,0.10176280917712752
low_to_high,stable_low,0,3,12,early,0.08250677187487912,0.26668961775691075,0.18418284588203163,0.04749148134985378,0.06668461994902862,0.01919313859917484,0.16498970728285678
low_to_high,stable_low,0,3,15,early,0.08170577542345585,0.1557092191348294,0.07400344371137356,0.4240702618774004,0.3803328733344471,-0.04373738854295328,0.11774083225432684
low_to_high,stable_low,0,3,18,early,0.026891297165739663,0.05955579103360589,0.032664493867866226,0.20444555112710214,0.21084920733321552,0.006403656206113384,0.026260837661752842
low_to_high,stable_low,0,3,21,early,0.13761805543906286,0.2467612094998328,0.10914315406076994,0.44418604085891716,0.42715610342490945,-0.017029937434007714,0.12617309149477765
low_to_high,stable_low,0,3,24,early,0.05472699248963986,0.053403264047215966,-0.0013237284424238924,0.15246450462850555,0.1677042042893757,0.01523969966087016,-0.016563428103294052
