seed,ar1_phi,horizon,n_outer_origins,mean_order,mean_window,s_observed,s_latent,s_ar,s_recovery,gap_observed_minus_latent,gap_observed_minus_ar,gap_observed_minus_recovery,mse_observed,mse_latent_lambda,mse_recovery_lambda,mse_ar_oracle,latent_mse_observed,latent_mse_latent,latent_mse_recovery,rmse_ar_vs_trend_only
0,0.4,2,20,2.35,61.2,0.9881056804000092,0.9888277596353845,0.9901823094185049,0.9780687768390199,-0.0007220792353752614,-0.002076629018495585,0.01003690356098938,0.4484483729627196,0.43331108971820703,0.4242228004048488,0.4060334399630521,0.17652042990929093,0.16250095690882105,0.1425867107946608,0.9515347973341589
0,0.4,3,20,2.15,52.8,0.993467534730541,0.9912154584672008,0.9940963554220836,0.9846680129797688,0.002252076263340036,-0.0006288206915427641,0.008799521750772027,0.40470950722577886,0.3909438663232346,0.3740155930608627,0.37147343526048177,0.17397531200299016,0.1587896854035747,0.14174031951453156,0.958058829369004
0,0.4,6,20,2.15,67.2,0.9833996903172249,0.9827434029242722,0.9838384454127572,0.9765982432466715,0.0006562873929526925,-0.0004387550955322783,0.006801447070553285,0.3588173579450441,0.34264710613454746,0.32876561522982495,0.3394476704438255,0.21357251123201587,0.2002934483596214,0.17966056456419016,0.9726345537966107
0,0.4,12,19,2.0526315789473686,65.6842105263158,0.98209148114159,0.9815436122966275,0.982261724074354,0.9751692956244405,0.0005478688449624724,-0.00017024293276403734,0.006922185517149387,0.43207017449430485,0.412419000250123,0.3575450486735772,0.4213591216279049,0.26642775766944554,0.25374311296824825,0.21541353351121673,0.9875271758622466
0,0.6,1,20,1.9,45.6,0.8614701195193428,0.9156343285603563,0.9395299227614622,0.9547395864817136,-0.054164209041013475,-0.07805980324211939,-0.09326946696237086,0.31092070979386344,0.36380408208204945,0.37971764977078676,0.2704571531367545,0.1801746971948549,0.16103964486740827,0.15006627170694395,0.9326622759587178
0,0.6,2,20,2.1,52.8,0.9505943585899048,0.9780295154050987,0.9815841297731283,0.9826749066726247,-0.027435156815193984,-0.030989771183223314,-0.03208054808271986,0.4137125747634073,0.4199211851377397,0.41328475517815677,0.3442066194557392,0.22281257262146265,0.2214468801662211,0.18778237087404095,0.9121373684769676
0,0.6,3,20,2.15,52.8,0.9937214649949049,0.9921628547822376,0.9951661370898502,0.9892029736950688,0.0015586102126672163,-0.0014446720949453373,0.004518491299836053,0.4111037141926846,0.39704278813900495,0.3851559151878927,0.3449450620368054,0.2325336571152083,0.22164372071153146,0.1981767686492066,0.9160079984847643
0,0.6,6,20,2.15,64.8,0.9855836917785069,0.9852491579046421,0.9867190966768596,0.9837676145719103,0.0003345338738650006,-0.0011354048983526655,0.0018160772065966891,0.36789621152899893,0.34944158901732336,0.3309649048783562,0.3256563657121221,0.28035097409210474,0.2674780198269989,0.23283553847214006,0.9408429351811118
0,0.6,12,19,2.0526315789473686,65.6842105263158,0.9825077889250139,0.982437641209279,0.9829238114491343,0.9814381709605021,7.01477157350092e-05,-0.00041602252412026015,0.0010696179645118236,0.49182182535010155,0.47439951158184973,0.40351818869100553,0.4604848293515196,0.36015471660594767,0.34858340762752055,0.28571233582721917,0.9676176126467707
0,0.8,1,20,1.5,50.4,0.6183983496940086,0.8306188800685227,0.8612590801872212,0.9312961978729325,-0.21222053037451416,-0.24286073049321258,-0.31289784817892385,0.15672158177578782,0.16829817866175995,0.216808538670956,0.1386451575970175,0.2169650778804732,0.18254287918369777,0.14322155334292117,0.9405631284645709
0,0.8,2,20,1.85,43.2,0.7623935732470222,0.9003734693995012,0.8756525599861735,0.9623647826523172,-0.1379798961524791,-0.11325898673915138,-0.19997120940529492,0.2566487087516861,0.2542492601796529,0.26922528855124983,0.2052129071490242,0.2701932093662922,0.24590786670304676,0.2239307986768862,0.8941961478796417
0,0.8,3,20,1.9,49.2,0.8895436386848447,0.9602910514545352,0.8955366771809737,0.9840148611451424,-0.07074741276969057,-0.005993038496129083,-0.09447122246029768,0.30562047720857954,0.33179335013182965,0.350671875083245,0.23575662359067445,0.30755611698309965,0.3226066331224678,0.31563586518786724,0.8782956398844103
0,0.8,6,20,2.05,63.6,0.9823831431316081,0.9843319889236394,0.9859620393762496,0.9885099750809715,-0.001948845792031234,-0.0035788962446415052,-0.006126831949363287,0.332760307153685,0.3452409192307456,0.35727871790394033,0.2579231522088335,0.3771251406930486,0.3853469346594334,0.3575292552123043,0.8803987265430996
0,0.8,12,19,2.0,63.1578947368421,0.982673322547302,0.9834294915885342,0.984134116472533,0.9882247552046423,-0.0007561690412323358,-0.0014607939252310538,-0.0055514326573402545,0.5175681413691506,0.5137926824475667,0.47867482217491125,0.4462586622359272,0.46646775603917345,0.4682652460159372,0.4088459901397844,0.928559124046777
0,0.9,1,20,1.7,40.8,0.587571684694912,0.8351592075485337,0.7914168184446088,0.9492250388398759,-0.2475875228536218,-0.2038451337496968,-0.3616533541449639,0.08981107333894003,0.09597253311748588,0.1506185628378232,0.07520777691328343,0.25898110429045085,0.24159841993485176,0.20066894058138515,0.9150955266819976
0,0.9,2,20,1.8,52.8,0.6250887318462854,0.8484946380717417,0.6929286699240227,0.956980289823262,-0.22340590622545617,-0.06783993807773717,-0.33189155797697656,0.13259851995495653,0.12055182818429269,0.14001632754823226,0.10844766808877915,0.24305539170453333,0.20521813359191507,0.15818286876160578,0.9043588037357451
0,0.9,3,20,1.9,52.8,0.879277509816049,0.9424215470871984,0.8926051235337878,0.9853042323124857,-0.06314403727114937,-0.013327613717738801,-0.10602672249643678,0.1677729025334497,0.17649724250592438,0.24974518335824708,0.13402789129743192,0.32625756361692804,0.32971095692756985,0.3806577589205002,0.8937924532160509
0,0.9,6,20,2.0,57.6,0.9780846550969908,0.9828596025141652,0.9855470313831276,0.9925742789459304,-0.0047749474171742915,-0.007462376286136663,-0.014489623848939603,0.21212458697097936,0.26297122130728307,0.2985915082356144,0.15344282826865524,0.3905652946354783,0.4347009662252086,0.4030081302182011,0.8505068045439234
0,0.9,12,19,2.0,60.63157894736842,0.9799342006572107,0.9816112759053112,0.9828883424754256,0.9908322537840121,-0.0016770752481003518,-0.0029541418182146987,-0.010898053126801237,0.4261166700749164,0.4775097528545981,0.4934778029361981,0.32168921013727053,0.5208214421671876,0.5489528486358036,0.5341000149059448,0.8688683646347274
0,0.95,1,20,1.95,37.2,0.7632447723072593,0.8879168240362322,0.8831122673748114,0.9835377127588784,-0.12467205172897286,-0.11986749506755201,-0.22029294045161896,0.04518759806907741,0.0532838789930559,0.08528683802643723,0.038979754434276884,0.2195836084300021,0.23828479728434768,0.26633631070740493,0.9287737252150808
0,0.95,2,20,2.1,52.8,0.8640997106534073,0.9352927083230431,0.9375909382957213,0.9890846962393807,-0.0711929976696358,-0.07349122764231406,-0.12498498558597337,0.0762090605307286,0.07312641378667704,0.14974472244710652,0.05766755826865762,0.26198217846945976,0.25068122091306483,0.3343438631267978,0.8698862729675156
0,0.95,3,20,2.1,56.4,0.9616520009898075,0.9585530233662467,0.9839245142292606,0.9935989739959818,0.003098977623560717,-0.02227251323945319,-0.031946973006174405,0.08355004240506693,0.09578707800183311,0.17505070630011657,0.06821968346762394,0.2741688985132335,0.28053114487096953,0.37168191459626515,0.9036110074047755
0,0.95,6,20,2.1,54.0,0.971184660354016,0.9713792232479264,0.9832504292921304,0.9935263610788343,-0.00019456289391053816,-0.012065768938114401,-0.022341700724818364,0.11100446903978134,0.15956919248428858,0.2202442329058835,0.08715110690692844,0.3192395175401594,0.3823256187104228,0.4041159294280911,0.8860663052664923
0,0.95,12,19,2.1578947368421053,59.36842105263158,0.9727976059973945,0.9796986364373987,0.9792029194656466,0.9923062022497242,-0.0069010304400044225,-0.006405313468252198,-0.019508596252329855,0.24663895409565736,0.330069862890266,0.34108966733043683,0.20658914082475544,0.4634636614454285,0.5262041695527657,0.5071196695266694,0.9152145370186375
1,-0.8,1,20,3.0,66.0,0.9963934924710653,0.9857079966439233,0.9892307365879807,0.9815336948464521,0.010685495827141994,0.007162755883084654,0.014859797624613308,0.3330921743810545,0.33447782854021985,0.3348341407074299,0.1551587400703924,0.02846641594159685,0.01999092476624565,0.019315186022491593,0.6825051100902393
