direction,horizon,relative_origin,transition_smoothness,start_reference_smoothness,target_reference_smoothness,mean_abs_smoothness_gap_to_target,mean_transition_order,mean_start_order,mean_target_order,mean_transition_window,mean_start_window,mean_target_window,order_match_target_share,window_match_target_share,discrete_config_match_target_share,mean_transition_window_post_fraction,reference_smoothness_shift,smoothness_progress
high_to_low,1,84,0.9641620137656133,0.33387127173065617,0.9613487555538636,0.022804130739681454,2.2666666666666666,1.2666666666666666,2.1666666666666665,50.4,44.8,45.6,0.8333333333333334,0.5666666666666667,0.5666666666666667,1.0,0.6274774838232073,1.0044834408951355
high_to_low,1,87,0.9586234209421819,0.31096103816870746,0.9440050851873775,0.02821572167322966,2.2666666666666666,1.2666666666666666,2.1333333333333333,50.4,47.2,44.0,0.8,0.5666666666666667,0.5,1.0,0.63304404701867,1.023092130513903
high_to_low,1,90,0.9508183114780488,0.3064589066053498,0.9549097854999946,0.007609446510680473,2.1666666666666665,1.2666666666666666,2.2,49.6,44.0,44.8,0.9,0.5666666666666667,0.5666666666666667,1.0,0.6484508788946448,0.9936903871131764
high_to_low,1,93,0.9433913208996787,0.3447039322038029,0.9600859266625493,0.018918418932370427,2.1333333333333333,1.3333333333333333,2.2333333333333334,50.4,48.0,48.0,0.8333333333333334,0.7,0.6333333333333333,1.0,0.6153819944587464,0.9728711500934404
high_to_low,1,96,0.948489651794976,0.3344350723572712,0.9418408112973123,0.013146450890286281,2.1666666666666665,1.3333333333333333,2.1333333333333333,49.6,46.4,43.2,0.9,0.7666666666666667,0.7333333333333333,1.0,0.6074057389400411,1.0109462918629422
high_to_low,1,99,0.9626177929469127,0.32068149401776264,0.967768381758238,0.00935490988578341,2.1666666666666665,1.3,2.2,48.0,46.4,44.8,0.7666666666666667,0.6333333333333333,0.6,1.0,0.6470868877404754,0.9920403443356575
high_to_low,1,102,0.9755644776848679,0.3526121097222991,0.9746968355729012,0.0052296792368527615,2.2333333333333334,1.3333333333333333,2.2,45.6,43.2,44.0,0.9,0.7666666666666667,0.7333333333333333,1.0,0.6220847258506021,1.001394733025763
high_to_low,1,105,0.9869572395186778,0.339865351859847,0.987501179095513,0.003774158926537252,2.2333333333333334,1.3333333333333333,2.2333333333333334,44.8,43.2,45.6,0.9333333333333333,0.8666666666666667,0.8666666666666667,1.0,0.647635827235666,0.9991601150616435
high_to_low,1,108,0.970667311320226,0.3509054835075707,0.9691656861751775,0.007771433197281067,2.1,1.3333333333333333,2.1666666666666665,42.4,50.4,44.8,0.8333333333333334,0.6333333333333333,0.6333333333333333,1.0,0.6182602026676067,1.002428791532383
high_to_low,1,111,0.9739623586084589,0.2999094584467794,0.9738712099741522,0.006569888173512917,2.1,1.3,2.2333333333333334,44.0,44.8,48.8,0.8666666666666667,0.7666666666666667,0.6666666666666666,1.0,0.6739617515273728,1.0001352430373092
high_to_low,1,114,0.9769409436747717,0.34082412492565123,0.9755988038585528,0.0036090504214794463,2.2333333333333334,1.3,2.2666666666666666,44.8,45.6,47.2,0.9,0.7666666666666667,0.7333333333333333,1.0,0.6347746789329016,1.0021143562602008
high_to_low,1,117,0.9657329133424052,0.3529055834221133,0.9670043798884104,0.002806075207050755,2.2333333333333334,1.3333333333333333,2.3,47.2,41.6,48.8,0.8666666666666667,0.8,0.7666666666666667,1.0,0.6140987964662971,0.9979295407297302
high_to_low,3,-60,0.473471719311673,0.473471719311673,0.9623111159094925,0.49007496907577863,1.5333333333333334,1.5333333333333334,2.1,44.8,44.8,53.6,0.5333333333333333,0.4666666666666667,0.3333333333333333,0.0,0.4888393965978195,0.0
high_to_low,3,-57,0.5029392632501383,0.5029392632501383,0.9680824447721391,0.46565827373012436,1.4666666666666666,1.4666666666666666,2.033333333333333,43.2,43.2,51.2,0.5333333333333333,0.5333333333333333,0.3333333333333333,0.0,0.46514318152200085,0.0
