seed,transition,pre_phi,post_phi,horizon,regime_point,outer_origin,relative_origin,post_observations_seen,selected_window_pre_count,selected_window_post_count,selected_window_post_fraction,forecast_block_relation,selected_order,selected_window,selected_lambda,selected_smoothness,inner_objective,search_source,n_stationary_points,outer_block_mse,benchmark_block_mse,relative_rmsfe_block
0,stable_low,0.0,0.0,1,180,273,93,93,0,48,1.0,post,3,48,1123529.79923791,0.9962411249897869,0.39859192983691377,stationary_minimum,2,0.06381339956134198,0.33969041032397074,0.433425338951836
0,stable_low,0.0,0.0,1,180,276,96,96,0,48,1.0,post,3,48,776273.8771614679,0.9948662542598516,0.40006022597655405,stationary_minimum,2,0.21201126567876272,1.0351719300030093,0.4525569364733535
0,stable_low,0.0,0.0,1,180,279,99,99,0,24,1.0,post,2,24,89548432.31173131,0.9999996123051154,0.39473363616174095,stationary_minimum,1,0.07424736625475095,0.03670818044575986,1.4221948361087655
0,stable_low,0.0,0.0,1,180,282,102,102,0,24,1.0,post,2,24,56534607.577717684,0.9999993726232882,0.37372491030666416,stationary_minimum,1,0.7959415094758635,1.695802435220105,0.6850983946872198
0,stable_low,0.0,0.0,1,180,285,105,105,0,48,1.0,post,3,48,307003.40249446087,0.9897707603950476,0.3986567795664479,stationary_minimum,2,0.005372994054886915,0.07520762255615673,0.26728663898843863
0,stable_low,0.0,0.0,1,180,288,108,108,0,24,1.0,post,1,24,20.273021471765194,0.9068301756851206,0.37857559403542973,stationary_minimum,2,0.031391104906662894,0.33498164415781445,0.30612076941374883
0,stable_low,0.0,0.0,1,180,291,111,111,0,48,1.0,post,1,48,25.5671623859654,0.9102429163807038,0.3591721460410492,stationary_minimum,2,0.9704113149510806,1.3551201329705864,0.8462311875470157
0,stable_low,0.0,0.0,1,180,294,114,114,0,72,1.0,post,1,72,31.856537274801966,0.917612670615277,0.3544257513764252,stationary_minimum,2,0.7445439646778851,0.5234961327770294,1.1925825074006302
0,stable_low,0.0,0.0,1,180,297,117,117,0,72,1.0,post,1,72,23.926282683584287,0.9039935355753203,0.3781408909305938,stationary_minimum,2,0.6550112412507817,0.353966052157316,1.3603277910182443
0,stable_low,0.0,0.0,3,180,120,-60,0,72,0,0.0,pre,2,72,4866.163028924238,0.9706925198039322,0.3083951711431878,stationary_minimum,1,0.36736565534804005,0.5165229841129516,0.8433433997120783
0,stable_low,0.0,0.0,3,180,123,-57,0,72,0,0.0,pre,2,72,4779.735098449722,0.970496256058089,0.3118617420931139,stationary_minimum,1,0.5660204283865197,0.2953478087615578,1.384360427455804
0,stable_low,0.0,0.0,3,180,126,-54,0,72,0,0.0,pre,2,72,5692.111311772268,0.9723719225322397,0.3257401044902533,stationary_minimum,1,0.24216781406151844,1.3095934220525673,0.4300213005305344
0,stable_low,0.0,0.0,3,180,129,-51,0,72,0,0.0,pre,2,72,6218.071249008032,0.9732895359933275,0.32126734439641125,stationary_minimum,1,0.44963607548516604,0.7505212340013131,0.7740144744774576
0,stable_low,0.0,0.0,3,180,132,-48,0,72,0,0.0,pre,2,72,6364.610124629327,0.9735279633259607,0.3276806722919048,stationary_minimum,1,0.17059515975133935,0.7141190582097771,0.4887626835872386
0,stable_low,0.0,0.0,3,180,135,-45,0,72,0,0.0,pre,2,72,6486.880886978201,0.9737216929968135,0.32019701934111655,stationary_minimum,1,0.3952902020690081,0.26148037425608445,1.2295281488277545
0,stable_low,0.0,0.0,3,180,138,-42,0,72,0,0.0,pre,2,72,6676.6275085944835,0.9740134337463262,0.32360249023913473,stationary_minimum,1,0.15987012360259711,1.3390080837493163,0.3455350090156643
0,stable_low,0.0,0.0,3,180,141,-39,0,72,0,0.0,pre,2,72,6696.360806385255,0.974043176087319,0.3164836116615566,stationary_minimum,1,0.17680637425602697,0.9141848384368257,0.43977643252249005
0,stable_low,0.0,0.0,3,180,144,-36,0,72,0,0.0,pre,2,72,7047.9297720265395,0.9745553197697748,0.3106394158365476,stationary_minimum,1,0.41579614929411224,0.389405631710871,1.033330188600092
0,stable_low,0.0,0.0,3,180,147,-33,0,72,0,0.0,pre,2,72,6626.05063442011,0.9739366970243423,0.314813495785958,stationary_minimum,1,0.16277712319053778,0.2571826429732183,0.7955653449049714
0,stable_low,0.0,0.0,3,180,150,-30,0,72,0,0.0,pre,2,72,7490.863455863305,0.9751566912298966,0.3088263607491063,stationary_minimum,1,0.028557653692467194,0.03768403448397183,0.8705276404463073
0,stable_low,0.0,0.0,3,180,153,-27,0,72,0,0.0,pre,2,72,7671.764168969167,0.9753895972476142,0.2984405828867187,stationary_minimum,1,0.10296888251264942,0.036391904796846127,1.6820953331948063
0,stable_low,0.0,0.0,3,180,156,-24,0,72,0,0.0,pre,2,72,7815.501887215278,0.9755697958179681,0.2914562138419489,stationary_minimum,1,0.31849765301139893,0.3566919639732698,0.9449448352414104
0,stable_low,0.0,0.0,3,180,159,-21,0,72,0,0.0,pre,2,72,7777.919491261138,0.9755230842088785,0.29238847123146366,stationary_minimum,1,0.3046403275111605,0.47560172276109586,0.8003353271407941
0,stable_low,0.0,0.0,3,180,162,-18,0,72,0,0.0,pre,2,72,7364.3542396750545,0.9749895767936616,0.29277320587208155,stationary_minimum,1,0.6536200485012081,0.6621490202064413,0.9935387543896099
0,stable_low,0.0,0.0,3,180,165,-15,0,72,0,0.0,pre,2,72,8362.603140388183,0.9762194402984525,0.3017680632479468,stationary_minimum,1,0.16074766082329148,0.23297740921761786,0.8306449425820907
0,stable_low,0.0,0.0,3,180,168,-12,0,72,0,0.0,pre,2,72,7971.2490020258665,0.975760413037506,0.30049282827781687,stationary_minimum,1,0.0891424204673283,0.1509968302937662,0.768348584891703
0,stable_low,0.0,0.0,3,180,171,-9,0,72,0,0.0,pre,2,72,9566.033017450252,0.9774775600546389,0.29386686567859344,stationary_minimum,1,0.6619116363072736,0.3720006029244806,1.3339150916719766
