direction,seed,horizon,relative_origin,transition_order,transition_window,transition_smoothness,transition_window_post_fraction,start_order,start_window,start_smoothness,start_window_post_fraction,target_order,target_window,target_smoothness,target_window_post_fraction,abs_smoothness_gap_to_target,order_match_target,window_match_target,discrete_config_match_target
low_to_high,13,6,42,3,72,0.9999813444345776,0.5833333333333334,2,72,0.9707023428287892,0.5833333333333334,3,72,0.9999814672659566,0.5833333333333334,1.2283137895696683e-07,1.0,1.0,1.0
low_to_high,13,6,45,2,72,0.958896322287221,0.625,2,72,0.9648263238356302,0.625,2,72,0.978390736687909,0.625,0.019494414400687998,1.0,1.0,1.0
low_to_high,13,6,48,2,24,0.9712028942702584,1.0,2,72,0.9608789763788673,0.6666666666666666,2,72,0.9728075884777241,0.6666666666666666,0.0016046942074656734,1.0,0.0,0.0
low_to_high,13,6,51,2,72,0.9541084079938326,0.7083333333333334,2,72,0.9654201528739499,0.7083333333333334,2,72,0.9716045626425638,0.7083333333333334,0.01749615464873122,1.0,1.0,1.0
low_to_high,13,6,54,2,72,0.9647608998552125,0.75,2,72,0.9700277168979038,0.75,2,72,0.97616704376896,0.75,0.011406143913747502,1.0,1.0,1.0
low_to_high,13,6,57,2,72,0.9699059072409016,0.7916666666666666,2,72,0.9703839163846841,0.7916666666666666,2,72,0.9786116252813036,0.7916666666666666,0.008705718040401988,1.0,1.0,1.0
low_to_high,13,6,60,2,24,0.964543772282608,1.0,2,72,0.9698536153004464,0.8333333333333334,2,72,0.9792674689007715,0.8333333333333334,0.014723696618163529,1.0,0.0,0.0
low_to_high,13,6,63,2,24,0.9649485877017321,1.0,2,72,0.969080204236332,0.875,2,72,0.9787375319165998,0.875,0.01378894421486776,1.0,0.0,0.0
low_to_high,13,6,66,2,24,0.9663631222577903,1.0,2,72,0.9692153270946438,0.9166666666666666,2,72,0.9787085696532769,0.9166666666666666,0.012345447395486597,1.0,0.0,0.0
low_to_high,13,6,69,2,24,0.9674736870913182,1.0,2,72,0.965027364558411,0.9583333333333334,2,72,0.977876630350745,0.9583333333333334,0.010402943259426811,1.0,0.0,0.0
low_to_high,13,6,72,2,24,0.9672765756793429,1.0,2,72,0.9637427736248293,1.0,2,72,0.976772398720561,1.0,0.009495823041218099,1.0,0.0,0.0
low_to_high,13,6,75,2,24,0.9692568444993522,1.0,2,72,0.9717653482112575,1.0,2,72,0.9784996335635939,1.0,0.009242789064241697,1.0,0.0,0.0
low_to_high,13,6,78,2,24,0.9693599697737278,1.0,2,72,0.9722126325960874,1.0,2,72,0.979390208680896,1.0,0.010030238907168143,1.0,0.0,0.0
low_to_high,13,6,81,2,72,0.9758632999377054,1.0,2,72,0.9742899162150837,1.0,2,72,0.9790939024799397,1.0,0.0032306025422342843,1.0,1.0,1.0
low_to_high,13,6,84,2,72,0.9777937483468715,1.0,2,72,0.9774489875992933,1.0,2,48,0.9857683961498729,1.0,0.007974647803001389,1.0,0.0,0.0
low_to_high,13,6,87,2,72,0.979307036141768,1.0,2,72,0.9796588880067482,1.0,2,48,0.985573841143602,1.0,0.006266805001834075,1.0,0.0,0.0
low_to_high,13,6,90,2,72,0.9798778440898128,1.0,2,72,0.9802080310463659,1.0,2,48,0.9882038542500127,1.0,0.008326010160199848,1.0,0.0,0.0
low_to_high,13,6,93,2,72,0.9801428412026597,1.0,2,72,0.9788890778898829,1.0,2,48,0.9889030899276877,1.0,0.008760248725028008,1.0,0.0,0.0
low_to_high,13,6,96,2,72,0.9784056398771761,1.0,2,72,0.9697174195963812,1.0,2,48,0.9868918476416375,1.0,0.008486207764461406,1.0,0.0,0.0
low_to_high,13,6,99,2,24,0.9617321906979369,1.0,2,72,0.9588683062029877,1.0,2,48,0.98724024967184,1.0,0.02550805897390307,1.0,0.0,0.0
low_to_high,13,6,102,2,24,0.957470406749213,1.0,2,72,0.9574573535191586,1.0,2,24,0.9501531933558525,1.0,0.007317213393360555,1.0,1.0,1.0
low_to_high,13,6,105,2,24,0.9511017307342465,1.0,2,24,0.9718409034140081,1.0,2,24,0.9464967130069281,1.0,0.004605017727318472,1.0,1.0,1.0
low_to_high,13,6,108,2,24,0.9573723420854836,1.0,2,72,0.9617754430649675,1.0,2,48,0.9841459559453767,1.0,0.026773613859893075,1.0,0.0,0.0
low_to_high,13,6,111,2,24,0.9552512520259931,1.0,2,72,0.9638856442000505,1.0,2,24,0.9515524516169802,1.0,0.0036988004090129367,1.0,1.0,1.0
low_to_high,13,6,114,2,48,0.9757581403846404,1.0,2,48,0.9742346844928212,1.0,2,48,0.9815575166873064,1.0,0.005799376302666026,1.0,1.0,1.0
low_to_high,13,12,-60,2,24,0.9999993463752499,0.0,2,24,0.9999993463752499,0.0,2,72,0.9935140135491987,0.0,0.006485332826051238,1.0,0.0,0.0
low_to_high,13,12,-57,2,24,0.9999993163920842,0.0,2,24,0.9999993163920842,0.0,2,72,0.9923334877907168,0.0,0.0076658286013673305,1.0,0.0,0.0
low_to_high,13,12,-54,2,24,0.9999992869105939,0.0,2,24,0.9999992869105939,0.0,2,72,0.9911246427730389,0.0,0.00887464413755501,1.0,0.0,0.0
low_to_high,13,12,-51,2,24,0.9999991207579256,0.0,2,24,0.9999991207579256,0.0,2,72,0.9904102162075162,0.0,0.009588904550409394,1.0,0.0,0.0
low_to_high,13,12,-48,2,48,0.9847718339566726,0.0,2,48,0.9847718339566726,0.0,2,72,0.9907943133868358,0.0,0.006022479430163208,1.0,0.0,0.0
low_to_high,13,12,-45,2,48,0.9885349002677802,0.0,2,48,0.9885349002677802,0.0,2,72,0.9923979828439973,0.0,0.003863082576217036,1.0,0.0,0.0
low_to_high,13,12,-42,2,48,0.9877934797699358,0.0,2,48,0.9877934797699358,0.0,2,72,0.9938011959027994,0.0,0.00600771613286355,1.0,0.0,0.0
low_to_high,13,12,-39,2,48,0.985855077660932,0.0,2,48,0.985855077660932,0.0,2,72,0.994512672874262,0.0,0.008657595213329983,1.0,0.0,0.0
low_to_high,13,12,-36,2,48,0.9856523700726316,0.0,2,48,0.9856523700726316,0.0,2,72,0.9942014324732329,0.0,0.00854906240060127,1.0,0.0,0.0
low_to_high,13,12,-33,2,48,0.9869442335236125,0.0,2,48,0.9869442335236125,0.0,2,72,0.9935614161396726,0.0,0.006617182616060147,1.0,0.0,0.0
low_to_high,13,12,-30,2,48,0.9863460685401583,0.0,2,48,0.9863460685401583,0.0,2,72,0.9929854899807004,0.0,0.0066394214405420815,1.0,0.0,0.0
low_to_high,13,12,-27,2,48,0.9862385184722621,0.0,2,48,0.9862385184722621,0.0,2,72,0.9927950893873756,0.0,0.006556570915113524,1.0,0.0,0.0
low_to_high,13,12,-24,2,48,0.9856417708582691,0.0,2,48,0.9856417708582691,0.0,2,72,0.9925674396157632,0.0,0.006925668757494119,1.0,0.0,0.0
low_to_high,13,12,-21,2,48,0.9854318872997666,0.0,2,48,0.9854318872997666,0.0,2,72,0.9923245067006891,0.0,0.006892619400922451,1.0,0.0,0.0
low_to_high,13,12,-18,2,48,0.9848282579285187,0.0,2,48,0.9848282579285187,0.0,2,72,0.9919345561622813,0.0,0.007106298233762631,1.0,0.0,0.0
low_to_high,13,12,-15,2,48,0.9854096300501443,0.0,2,48,0.9854096300501443,0.0,2,72,0.9914263731769781,0.0,0.006016743126833868,1.0,0.0,0.0
low_to_high,13,12,-12,2,48,0.9846681512084762,0.0,2,48,0.9846681512084762,0.0,2,72,0.9912036329607553,0.0,0.0065354817522791375,1.0,0.0,0.0
low_to_high,13,12,-9,2,48,0.9827880036469522,0.0,2,48,0.9827880036469522,0.0,2,72,0.9911625135931402,0.0,0.008374509946188047,1.0,0.0,0.0
low_to_high,13,12,-6,3,72,0.9893978047704451,0.0,3,72,0.9893978047704451,0.0,2,72,0.9878425742659381,0.0,0.0015552305045070103,0.0,1.0,0.0
low_to_high,13,12,-3,3,72,0.9899306587322171,0.0,3,72,0.9899306587322171,0.0,2,48,0.9947605891001834,0.0,0.004829930367966306,0.0,0.0,0.0
low_to_high,13,12,0,3,72,0.989346324395596,0.0,3,72,0.989346324395596,0.0,2,48,0.9976322771417931,0.0,0.008285952746197145,0.0,0.0,0.0
low_to_high,13,12,3,3,72,0.9900267796189237,0.041666666666666664,3,72,0.9901604094356283,0.041666666666666664,2,48,0.9993134604320261,0.0625,0.009286680813102355,0.0,0.0,0.0
low_to_high,13,12,6,3,72,0.9928498883982299,0.08333333333333333,3,72,0.9928920504463113,0.08333333333333333,3,72,0.9999987523564559,0.08333333333333333,0.007148863958226004,1.0,1.0,1.0
low_to_high,13,12,9,3,72,0.9939099620871684,0.125,3,72,0.9940506603007873,0.125,3,72,0.9999987523564559,0.125,0.006088790269287436,1.0,1.0,1.0
low_to_high,13,12,12,3,72,0.9952894777229359,0.16666666666666666,2,72,0.9722551417288292,0.16666666666666666,3,72,0.9999987523564559,0.16666666666666666,0.00470927463352,1.0,1.0,1.0
low_to_high,13,12,15,3,72,0.9959047664678812,0.20833333333333334,3,72,0.9966582176688308,0.20833333333333334,3,72,0.9999987523564559,0.20833333333333334,0.0040939858885746805,1.0,1.0,1.0
low_to_high,13,12,18,3,72,0.9954275622832593,0.25,3,72,0.9962843294671972,0.25,3,72,0.9999987523564559,0.25,0.004571190073196507,1.0,1.0,1.0
low_to_high,13,12,21,3,72,0.996313646071851,0.2916666666666667,3,72,0.9967704946766592,0.2916666666666667,3,72,0.9999987523564559,0.2916666666666667,0.0036851062846048332,1.0,1.0,1.0
low_to_high,13,12,24,3,72,0.9963234140098636,0.3333333333333333,3,72,0.9972385822318234,0.3333333333333333,3,72,0.9999987523564559,0.3333333333333333,0.003675338346592283,1.0,1.0,1.0
low_to_high,13,12,27,3,72,0.9970558025743288,0.375,3,72,0.9999987523564559,0.375,3,72,0.9999987523564559,0.375,0.002942949782127058,1.0,1.0,1.0
low_to_high,13,12,30,3,72,0.9999987523564559,0.4166666666666667,3,72,0.997904220928735,0.4166666666666667,3,72,0.9999987523564559,0.4166666666666667,0.0,1.0,1.0,1.0
low_to_high,13,12,33,3,72,0.9999987523564559,0.4583333333333333,3,72,0.9974003288139363,0.4583333333333333,3,72,0.9999987523564559,0.4583333333333333,0.0,1.0,1.0,1.0
low_to_high,13,12,36,3,72,0.9999987523564559,0.5,3,72,0.9976642424515774,0.5,3,72,0.9999987523564559,0.5,0.0,1.0,1.0,1.0
low_to_high,13,12,39,3,72,0.9999987523564559,0.5416666666666666,3,72,0.9999987523564559,0.5416666666666666,3,72,0.9999987523564559,0.5416666666666666,0.0,1.0,1.0,1.0
low_to_high,13,12,42,3,72,0.9999986924839889,0.5833333333333334,2,72,0.9772644582485981,0.5833333333333334,3,72,0.9999963484967131,0.5833333333333334,2.343987275721382e-06,1.0,1.0,1.0
low_to_high,13,12,45,3,72,0.9999798303187294,0.625,2,72,0.9761696513111512,0.625,2,72,0.9837863428036986,0.625,0.016193487515030802,0.0,1.0,0.0
