transition,pre_phi,post_phi,horizon,relative_origin,n_seeds,mean_order,modal_order,mean_window,modal_window,mean_smoothness,median_smoothness,mean_selected_window_post_fraction,frac_lower_boundary,frac_upper_boundary,mean_outer_block_mse,mean_benchmark_block_mse,pooled_relative_rmsfe
high_to_low,0.8,0.0,1,0,30,1.3666666666666667,1,45.6,24,0.37794343042962564,0.37017688600125964,0.0,0.36666666666666664,0.0,0.5587809435054546,0.5899961219636526,0.9731868115166492
high_to_low,0.8,0.0,1,3,30,1.3333333333333333,1,45.6,48,0.36457786248141993,0.2756271447377363,0.07847222222222222,0.36666666666666664,0.0,0.30716607071155394,0.31294810815031504,0.9907189176660028
high_to_low,0.8,0.0,1,6,30,1.3333333333333333,1,42.4,24,0.4258935686365846,0.483549547345723,0.17083333333333334,0.3,0.0,0.38030684064970455,0.458513095091707,0.9107332589551627
high_to_low,0.8,0.0,1,9,30,1.3333333333333333,1,44.8,24,0.45828156767477696,0.5169121340539802,0.24583333333333332,0.23333333333333334,0.0,0.47407733748339914,0.5481493659092148,0.9299832778049303
high_to_low,0.8,0.0,1,12,30,1.3666666666666667,1,44.0,24,0.4959913977456963,0.5376684095728763,0.33055555555555555,0.2,0.0,0.49180922539123384,0.6108283737732256,0.8973022036179125
high_to_low,0.8,0.0,1,15,30,1.4333333333333333,1,47.2,48,0.536336790575864,0.5485993193115357,0.3854166666666667,0.2,0.0,0.5499704342238921,0.6105687693211124,0.9490790313140096
high_to_low,0.8,0.0,1,18,30,1.5666666666666667,1,44.8,48,0.6917370373534839,0.7547115226273852,0.48333333333333334,0.1,0.0,0.2642484256882144,0.39546851636294317,0.8174293874404158
high_to_low,0.8,0.0,1,21,30,1.5666666666666667,1,44.8,24,0.6838850679402694,0.7497819149659242,0.5736111111111111,0.1,0.0,0.2995497089173345,0.34730399994568667,0.9287087949463808
high_to_low,0.8,0.0,1,24,30,1.4666666666666666,1,46.4,48,0.6602520318652154,0.7391138322709272,0.6222222222222222,0.06666666666666667,0.0,0.411316498693791,0.4857109394064668,0.9202357957459322
high_to_low,0.8,0.0,1,27,30,1.5,1,46.4,24,0.7060544680204455,0.7612858888290921,0.6666666666666666,0.03333333333333333,0.03333333333333333,0.3080023552559957,0.4366267404879876,0.8398889235687322
high_to_low,0.8,0.0,1,30,30,1.5333333333333334,1,44.8,24,0.7112361380900682,0.7648446701624024,0.7194444444444444,0.06666666666666667,0.0,0.3350359384116093,0.6194057700564373,0.7354583350094156
high_to_low,0.8,0.0,1,33,30,1.7,2,48.0,24,0.7894576532360531,0.8982551479146669,0.7152777777777778,0.03333333333333333,0.03333333333333333,0.2734821579946499,0.46425264103467423,0.7675157699414059
high_to_low,0.8,0.0,1,36,30,1.7666666666666666,2,52.0,72,0.8140097545003183,0.9265172718697895,0.7083333333333334,0.06666666666666667,0.0,0.44097021302868655,0.42440586055424684,1.0193279694403659
high_to_low,0.8,0.0,1,39,30,1.7666666666666666,2,43.2,24,0.779930906844561,0.9356268394532612,0.8333333333333334,0.1,0.0,0.33367080185877374,0.4643658263869947,0.8476742226674642
high_to_low,0.8,0.0,1,42,30,1.7333333333333334,2,48.8,48,0.7778591367023642,0.9359753435862588,0.8208333333333333,0.06666666666666667,0.0,0.38908343996420863,0.4489560962859347,0.9309351677846052
high_to_low,0.8,0.0,1,45,30,1.7333333333333334,2,47.2,48,0.792031909032411,0.9407739038880736,0.8645833333333334,0.06666666666666667,0.0,0.5613256968702941,0.8002518556325364,0.837517937261998
high_to_low,0.8,0.0,1,48,30,1.8666666666666667,2,46.4,24,0.8344361968653325,0.9560133637503976,0.9,0.0,0.03333333333333333,0.2562534280413764,0.45060803405588623,0.7541111751317418
high_to_low,0.8,0.0,1,51,30,1.8,2,44.8,48,0.8325670382317557,0.9533497135603941,0.9319444444444444,0.0,0.03333333333333333,0.18277672962842903,0.28080180041113684,0.8067900010844243
high_to_low,0.8,0.0,1,54,30,1.8,2,46.4,48,0.8338061706468899,0.9546213164773559,0.9416666666666667,0.0,0.03333333333333333,0.3603425109584578,0.6040355600555853,0.772371956540583
high_to_low,0.8,0.0,1,57,30,1.8333333333333333,2,47.2,48,0.8768572615388572,0.9612455654393759,0.951388888888889,0.0,0.03333333333333333,0.44336337488660976,0.48105164184017213,0.9600283465106848
high_to_low,0.8,0.0,1,60,30,1.8666666666666667,2,48.0,48,0.867153495333324,0.9610727030667138,0.95,0.0,0.03333333333333333,0.46685968803754235,0.6625608186184403,0.8394219335872682
high_to_low,0.8,0.0,1,63,30,2.066666666666667,2,50.4,48,0.880058746077659,0.9673362906609739,0.9541666666666667,0.0,0.0,0.35320784252622234,0.4456919765338632,0.8902208485700271
high_to_low,0.8,0.0,1,66,30,2.066666666666667,2,47.2,48,0.9033896349766365,0.9800369573655094,0.975,0.0,0.1,0.3526825101428694,0.4464827898323167,0.8887704362839678
high_to_low,0.8,0.0,1,69,30,1.9666666666666666,2,45.6,24,0.8829627117799327,0.9741732581424711,0.9875,0.0,0.1,0.44518878865008343,0.5059954189385099,0.9379913144154292
high_to_low,0.8,0.0,1,72,30,2.1,2,48.8,72,0.9197807735476822,0.9744859617426789,1.0,0.0,0.06666666666666667,0.39168990246657065,0.530059121998893,0.8596249884015831
high_to_low,0.8,0.0,1,75,30,2.0,2,46.4,24,0.9065221040753433,0.978519378058514,1.0,0.0,0.06666666666666667,0.39578239216845806,0.5487166914164887,0.8492863596501311
high_to_low,0.8,0.0,1,78,30,2.2,2,45.6,24,0.9523137830394941,0.9905532825683225,1.0,0.0,0.13333333333333333,0.20296387402108323,0.5461043058805654,0.6096373568309086
high_to_low,0.8,0.0,1,81,30,2.2,2,47.2,48,0.9483709536896286,0.9915396485137553,1.0,0.0,0.13333333333333333,0.2788325604883421,0.48597024005156797,0.7574725622103097
high_to_low,0.8,0.0,1,84,30,2.2666666666666666,2,50.4,48,0.9641620137656133,0.9909077061249556,1.0,0.0,0.13333333333333333,0.3824634310630827,0.42204724324493953,0.9519506274313196
high_to_low,0.8,0.0,1,87,30,2.2666666666666666,2,50.4,72,0.9586234209421819,0.9920223459076596,1.0,0.0,0.13333333333333333,0.3320378546231891,0.30972467836655765,1.0353945966973603
high_to_low,0.8,0.0,1,90,30,2.1666666666666665,2,49.6,48,0.9508183114780488,0.989704978051628,1.0,0.0,0.13333333333333333,0.18456163688094115,0.3529786915180658,0.7230968543005581
high_to_low,0.8,0.0,1,93,30,2.1333333333333333,2,50.4,72,0.9433913208996787,0.9890300222268371,1.0,0.0,0.1,0.19417238591782476,0.5208904922447215,0.6105489917032028
