seed,transition,pre_phi,post_phi,horizon,regime_point,outer_origin,relative_origin,post_observations_seen,inner_origin_count,inner_origin_earliest,inner_origin_latest,inner_origin_post_fraction,selected_window_pre_count,selected_window_post_count,selected_window_post_fraction,forecast_block_relation,selected_order,selected_window,selected_lambda,selected_smoothness,inner_objective,search_source,n_stationary_points,outer_block_mse,benchmark_block_mse,relative_rmsfe_block,selector_max_inner_origins,selector_validation_span_observations,inner_step
0,high_to_low,0.8,0.0,1,180,282,102,102,5,267,279,1.0,0,72,1.0,post,2,72,26489122129.84347,1.00000035924574,0.15983902832036725,upper_boundary,4,1.0894093719652616,1.695802435220105,0.8015081195356051,5,12,3
0,high_to_low,0.8,0.0,1,180,285,105,105,5,270,282,1.0,0,72,1.0,post,3,72,18986390.24695263,0.9982693867615513,0.25991172281348074,stationary_minimum,2,0.013021687079631828,0.07520762255615673,0.4161047728574294,5,12,3
0,high_to_low,0.8,0.0,1,180,288,108,108,5,273,285,1.0,0,24,1.0,post,3,24,165063334.41149315,0.9999989902053644,0.16468752470436634,stationary_minimum,1,0.1522929082547249,0.33498164415781445,0.6742630103391755,5,12,3
0,high_to_low,0.8,0.0,1,180,291,111,111,5,276,288,1.0,0,72,1.0,post,3,72,26489122129.84347,0.9999987523564559,0.19033343413343304,upper_boundary,2,0.8359210328393447,1.3551201329705864,0.7854051190853515,5,12,3
0,high_to_low,0.8,0.0,1,180,294,114,114,5,279,291,1.0,0,24,1.0,post,3,24,26489122129.84347,0.9999958924587974,0.22803654060474488,upper_boundary,0,0.1439195771928235,0.5234961327770294,0.5243281786352977,5,12,3
0,high_to_low,0.8,0.0,1,180,297,117,117,5,282,294,1.0,0,24,1.0,post,3,24,26489122129.84347,0.9999958924587974,0.2443631561703349,upper_boundary,0,0.15967543316624802,0.353966052157316,0.6716426174367355,5,12,3
0,stable_high,0.8,0.8,1,180,120,-60,0,5,105,117,0.0,48,0,0.0,pre,1,48,5.147614242968713,0.7913387351644955,0.15893057716303854,stationary_minimum,2,0.3073217378990903,0.002662266070234391,10.7441215170756,5,12,3
0,stable_high,0.8,0.8,1,180,123,-57,0,5,108,120,0.0,72,0,0.0,pre,1,72,1.522997974471263e-08,3.0459958161388936e-08,0.19532727668084682,lower_boundary,4,0.195851359280659,0.19585135076504306,1.0000000217399978,5,12,3
0,stable_high,0.8,0.8,1,180,126,-54,0,5,111,123,0.0,72,0,0.0,pre,2,72,1.522997974471263e-08,9.13798623055787e-08,0.16452459786528578,lower_boundary,4,0.7436853680418077,0.02428035622918315,5.534355992768246,5,12,3
0,stable_high,0.8,0.8,1,180,129,-51,0,5,114,126,0.0,72,0,0.0,pre,1,72,1.522997974471263e-08,3.0459958161388936e-08,0.19329235634266856,lower_boundary,1,0.16927724676676328,0.1692772463423465,1.0000000012536143,5,12,3
0,stable_high,0.8,0.8,1,180,132,-48,0,5,117,129,0.0,72,0,0.0,pre,2,72,16.60938214749423,0.8293550160222383,0.07184958519699841,stationary_minimum,3,0.03211465108553899,0.09582133212377793,0.5789225972809373,5,12,3
0,stable_high,0.8,0.8,1,180,135,-45,0,5,120,132,0.0,72,0,0.0,pre,3,72,10838729666.385138,0.999996697296921,0.060319192626750714,stationary_minimum,5,0.03830106979314529,0.003291259318350021,3.411335245776686,5,12,3
0,stable_high,0.8,0.8,1,180,138,-42,0,5,123,135,0.0,24,0,0.0,pre,2,24,22.001326334684656,0.8640935901604121,0.05473337654351138,stationary_minimum,2,0.042793743411493106,0.27740290486945945,0.3927666792729062,5,12,3
0,stable_high,0.8,0.8,1,180,141,-39,0,5,126,138,0.0,48,0,0.0,pre,2,48,59.39840378059403,0.8871106808721967,0.02138503691911794,stationary_minimum,4,0.016453697532156128,0.10503117100138369,0.39579713932446003,5,12,3
0,stable_high,0.8,0.8,1,180,144,-36,0,5,129,141,0.0,48,0,0.0,pre,2,48,23223.679661137972,0.9913537986396068,0.01169142564792421,stationary_minimum,3,0.6751447198212625,0.3545664662600634,1.3799063342404896,5,12,3
0,stable_high,0.8,0.8,1,180,147,-33,0,5,132,144,0.0,48,0,0.0,pre,3,48,154.29689452540092,0.8786062715757371,0.05831974497076373,stationary_minimum,3,0.7542080058343121,0.10545693634382412,2.6742868809570783,5,12,3
