selector_max_inner_origins,direction,horizon,relative_origin,transition_smoothness,start_reference_smoothness,target_reference_smoothness,mean_abs_smoothness_gap_to_target,mean_transition_order,mean_start_order,mean_target_order,mean_transition_window,mean_start_window,mean_target_window,order_match_target_share,window_match_target_share,discrete_config_match_target_share,mean_transition_window_post_fraction,reference_smoothness_shift,smoothness_progress,mean_inner_origin_post_fraction,mean_selected_window_post_fraction
10,high_to_low,1,-9,0.6752486451682181,0.6752486451682181,0.8326689491341698,0.15742030396595164,3.0,3.0,3.0,24.0,24.0,24.0,1.0,1.0,1.0,0.0,0.15742030396595164,0.0,0.0,0.0
10,high_to_low,1,-6,0.6824041625911234,0.6824041625911234,0.80824162343429,0.1258374608431666,3.0,3.0,3.0,24.0,24.0,48.0,1.0,0.0,0.0,0.0,0.1258374608431666,0.0,0.0,0.0
10,high_to_low,1,-3,0.6518713376449874,0.6518713376449874,0.7950511331277432,0.14317979548275583,3.0,3.0,3.0,48.0,48.0,48.0,1.0,1.0,1.0,0.0,0.14317979548275583,0.0,0.0,0.0
10,high_to_low,1,0,0.2738463649423755,0.2738463649423755,0.20695726269662354,0.06688910224575198,2.0,2.0,1.0,48.0,48.0,72.0,0.0,0.0,0.0,0.0,-0.06688910224575198,-0.0,0.0,0.0
10,high_to_low,1,3,0.9868749452041147,3.045995807355589e-08,0.9999993091495679,0.013124363945453243,3.0,1.0,3.0,24.0,48.0,24.0,1.0,1.0,1.0,0.125,0.9999992786896098,0.9868756265877998,0.1,0.125
10,high_to_low,1,6,0.8309207458019626,3.045995807355589e-08,0.9763661629730399,0.14544541717107728,1.0,1.0,2.0,24.0,48.0,48.0,0.0,0.0,0.0,0.25,0.9763661325130818,0.8510339386755321,0.2,0.25
10,high_to_low,1,9,0.8331538241022408,3.045995807355589e-08,0.9820585394847103,0.14890471538246952,1.0,1.0,2.0,24.0,48.0,48.0,0.0,0.0,0.0,0.375,0.9820585090247522,0.8483749043319816,0.3,0.375
10,high_to_low,1,12,0.9558522150543933,3.045995807355589e-08,0.9806447710113498,0.024792555956956508,2.0,1.0,2.0,48.0,48.0,72.0,1.0,0.0,0.0,0.25,0.9806447405513917,0.9747181064337159,0.4,0.25
10,high_to_low,1,15,0.97681404612803,0.9729962559542773,0.9873233993454122,0.010509353217382222,2.0,2.0,2.0,48.0,48.0,72.0,1.0,0.0,0.0,0.3125,0.014327143391134944,0.26647253185970177,0.5,0.3125
10,high_to_low,1,18,0.9935932750545741,0.3521389146873829,0.9877914675497151,0.005801807504858925,2.0,1.0,2.0,24.0,48.0,72.0,1.0,0.0,0.0,0.75,0.6356525528623322,1.0091273251066695,0.6,0.75
10,high_to_low,1,21,0.9977810848706815,0.9749599965696134,0.9912449807223014,0.0065361041483801285,2.0,2.0,2.0,24.0,24.0,72.0,1.0,0.0,0.0,0.875,0.016284984152687976,1.4013577223715805,0.7,0.875
10,high_to_low,1,24,0.9945208483914938,0.9896940829906591,0.9985217750372858,0.004000926645791991,2.0,2.0,2.0,72.0,72.0,72.0,1.0,1.0,1.0,0.3333333333333333,0.0088276920466267,0.5467754624130944,0.8,0.3333333333333333
10,high_to_low,1,27,0.9964564871701742,0.9910673701135045,0.9935602584971678,0.002896228673006429,2.0,2.0,2.0,72.0,72.0,72.0,1.0,1.0,1.0,0.375,0.0024928883836632387,2.1617963692183007,0.9,0.375
10,high_to_low,1,30,0.9966642880610459,0.9881799084441752,0.9951285394458642,0.0015357486151816868,2.0,3.0,2.0,72.0,48.0,72.0,1.0,1.0,1.0,0.4166666666666667,0.006948631001688965,1.2210145588114265,1.0,0.4166666666666667
10,high_to_low,1,33,0.9990724908197358,0.994443242473748,0.9999969315477281,0.0009244407279922484,3.0,2.0,3.0,48.0,72.0,48.0,1.0,1.0,1.0,0.6875,0.005553689073980017,0.8335447455415876,1.0,0.6875
10,high_to_low,1,36,0.9999939036535136,0.9937975809627694,0.9999976767964438,3.773142930207918e-06,3.0,3.0,3.0,48.0,48.0,48.0,1.0,1.0,1.0,0.75,0.006200095833674424,0.9993914379662142,1.0,0.75
10,high_to_low,1,39,0.9961548325826991,1.00000035924574,0.9999977324726035,0.003842899889904383,3.0,2.0,3.0,48.0,72.0,48.0,1.0,1.0,1.0,0.8125,-2.6267731365603453e-06,1463.9736525083042,1.0,0.8125
10,high_to_low,1,42,0.9999939036535136,1.00000035924574,0.9999939036535136,0.0,3.0,2.0,3.0,48.0,72.0,48.0,1.0,1.0,1.0,0.875,-6.455592226450868e-06,1.0,1.0,0.875
10,high_to_low,1,45,0.9999939036535136,1.00000035924574,0.9999939036535136,0.0,3.0,2.0,3.0,48.0,72.0,48.0,1.0,1.0,1.0,0.9375,-6.455592226450868e-06,1.0,1.0,0.9375
10,high_to_low,1,48,0.9999939036535136,1.00000035924574,0.9999939036535136,0.0,3.0,2.0,3.0,48.0,72.0,48.0,1.0,1.0,1.0,1.0,-6.455592226450868e-06,1.0,1.0,1.0
10,high_to_low,1,51,0.9999939036535136,1.00000035924574,0.9249837428274162,0.07501016082609735,3.0,2.0,1.0,48.0,72.0,24.0,0.0,0.0,0.0,1.0,-0.0750166164183238,8.605549723079758e-05,1.0,1.0
10,high_to_low,1,54,0.9371206326669848,1.00000035924574,0.9371206326669848,0.0,1.0,2.0,1.0,24.0,72.0,24.0,1.0,1.0,1.0,1.0,-0.06287972657875529,1.0,1.0,1.0
10,high_to_low,1,57,0.9999939036535136,0.9999989028641554,0.9999939036535136,0.0,3.0,2.0,3.0,48.0,72.0,48.0,1.0,1.0,1.0,1.0,-4.999210641787322e-06,1.0,1.0,1.0
10,high_to_low,1,60,0.9230601580587359,1.00000035924574,0.9229482399187656,0.00011191813997024624,1.0,2.0,1.0,48.0,72.0,48.0,1.0,1.0,1.0,1.0,-0.07705211932697442,0.9985475008221991,1.0,1.0
10,high_to_low,1,63,0.9224415586157194,0.40978778433811364,0.9192878976475923,0.003153660968127081,1.0,1.0,1.0,48.0,72.0,72.0,1.0,0.0,0.0,1.0,0.5095001133094788,1.0061897159308608,1.0,1.0
10,high_to_low,1,66,0.9184921487867156,0.3508724507530899,0.9184121942793961,7.995450731945741e-05,1.0,1.0,1.0,48.0,72.0,48.0,1.0,1.0,1.0,1.0,0.5675397435263062,1.0001408791335435,1.0,1.0
10,high_to_low,1,69,0.921763191083519,0.43724586295962753,0.9216758833172469,8.730776627208225e-05,1.0,1.0,1.0,48.0,72.0,48.0,1.0,1.0,1.0,1.0,0.4844300203576194,1.0001802278195056,1.0,1.0
10,high_to_low,1,72,0.4529172558531481,3.0459958161388936e-08,0.4529172558531396,8.548717289613705e-15,1.0,1.0,1.0,72.0,72.0,72.0,1.0,1.0,1.0,1.0,0.4529172253931814,1.0000000000000189,1.0,1.0
10,high_to_low,1,75,0.4418689095440291,3.0459958161388936e-08,0.441868909544035,5.9396931817445875e-15,1.0,1.0,1.0,72.0,72.0,72.0,1.0,1.0,1.0,1.0,0.44186887908407685,0.9999999999999866,1.0,1.0
10,high_to_low,1,78,0.8535820240324535,3.0459958161388936e-08,0.8535818394450695,1.8458738404447672e-07,1.0,1.0,1.0,72.0,72.0,72.0,1.0,1.0,1.0,1.0,0.8535818089851114,1.0000002162503723,1.0,1.0
10,high_to_low,1,81,0.8917433977176676,3.0459958161388936e-08,0.8917428373941357,5.603235319062705e-07,1.0,1.0,1.0,72.0,72.0,72.0,1.0,1.0,1.0,1.0,0.8917428069341776,1.0000006283465677,1.0,1.0
10,high_to_low,1,84,0.950292699052155,9.13798622857188e-08,0.9503981567911185,0.0001054577389635325,1.0,2.0,1.0,72.0,48.0,72.0,1.0,1.0,1.0,1.0,0.9503980654112563,0.9998890383484547,1.0,1.0
10,high_to_low,1,87,0.3315070017065932,0.9717592472355702,0.3315070017065932,0.0,2.0,1.0,2.0,24.0,48.0,24.0,1.0,1.0,1.0,1.0,-0.640252245528977,1.0,1.0,1.0
10,high_to_low,1,90,0.2948694008085745,0.23661867887954088,0.2948694008085745,0.0,2.0,3.0,2.0,48.0,72.0,48.0,1.0,1.0,1.0,1.0,0.058250721929033605,1.0,1.0,1.0
10,high_to_low,1,93,0.9583273642610528,0.7806704287291203,0.9583273642610528,0.0,1.0,1.0,1.0,48.0,48.0,48.0,1.0,1.0,1.0,1.0,0.1776569355319325,1.0,1.0,1.0
10,high_to_low,1,96,0.9776063855088126,0.6122381104962391,0.9776063855088126,0.0,1.0,1.0,1.0,48.0,48.0,48.0,1.0,1.0,1.0,1.0,0.3653682750125735,1.0,1.0,1.0
10,high_to_low,1,99,1.0000041241331297,0.5746449897506875,1.0000041241331297,0.0,2.0,1.0,2.0,24.0,48.0,24.0,1.0,1.0,1.0,1.0,0.4253591343824422,1.0,1.0,1.0
10,high_to_low,1,102,0.9858531427821007,0.5455565546664186,0.9858531427821007,0.0,3.0,1.0,3.0,48.0,48.0,48.0,1.0,1.0,1.0,1.0,0.44029658811568206,1.0,1.0,1.0
10,high_to_low,1,105,0.9813664023367075,0.5585186784983913,0.9813664023367075,0.0,3.0,1.0,3.0,48.0,72.0,48.0,1.0,1.0,1.0,1.0,0.42284772383831615,1.0,1.0,1.0
10,high_to_low,1,108,0.9790205910294768,0.8287870368899011,0.9790205910294768,0.0,3.0,2.0,3.0,48.0,24.0,48.0,1.0,1.0,1.0,1.0,0.15023355413957573,1.0,1.0,1.0
10,high_to_low,1,111,0.9909683628496443,0.5965087260114089,0.9909683628496443,0.0,2.0,1.0,2.0,72.0,24.0,72.0,1.0,1.0,1.0,1.0,0.3944596368382354,1.0,1.0,1.0
