selector_max_inner_origins,transition,horizon,period,n_blocks,mean_selected_order,mean_selected_window,mean_selected_smoothness,mean_inner_origin_post_fraction,mean_outer_block_mse,mean_benchmark_block_mse,pooled_relative_rmsfe
5,stable_high,3,mid,360,2.0027777777777778,50.733333333333334,0.7672328835889605,1.0,0.3235929299480431,0.3123629033075156,1.0178172024819427
5,stable_high,3,pre,600,1.945,51.4,0.7438905746988466,0.0,0.3400956758559907,0.23751491494927762,1.1966168436781215
5,stable_high,6,early,360,2.075,54.93333333333333,0.8813577897188081,0.6666666666666666,0.4612633822999393,0.5733543013565151,0.896939090965889
5,stable_high,6,late,450,2.077777777777778,54.666666666666664,0.8694626773368727,1.0,0.45793752325523635,0.8962360179302106,0.7148121384578466
5,stable_high,6,mid,360,2.066666666666667,53.8,0.8860067231801643,1.0,0.501759138625034,0.7153399238851773,0.8375127233293651
5,stable_high,6,pre,600,1.9533333333333334,54.72,0.8527041613505145,0.0,0.608718845276807,0.4723161532649064,1.1352512120544338
5,stable_high,12,early,360,2.1222222222222222,59.13333333333333,0.9303768218570514,0.5,0.7477688345524606,1.5643176618724957,0.6913869946767351
5,stable_high,12,late,390,2.1,57.41538461538462,0.9529936973540246,1.0,0.7432933860010372,2.604260838404604,0.5342418357692424
5,stable_high,12,mid,360,2.102777777777778,56.06666666666667,0.9450672154925693,1.0,0.7815228077247074,2.0227805319137535,0.6215791609009885
5,stable_high,12,pre,600,2.0,57.52,0.9212310911899406,0.0,0.8717919965107418,1.1913721895768774,0.8554265192828833
5,stable_low,1,early,360,2.2583333333333333,48.666666666666664,0.9189881390701654,0.75,0.3752005765783662,0.4959875732249571,0.8697538318332501
5,stable_low,1,late,480,2.3020833333333335,51.8,0.8893719827386618,1.0,0.4217147586424043,0.527178596660582,0.8943973736183308
5,stable_low,1,mid,360,2.1805555555555554,52.53333333333333,0.868559589932254,1.0,0.44322582868581456,0.5012673065954686,0.9403246916409247
